uniprot_id	disopred3perc	iupredperc	abundance	uniprot_symbols	entrez_id	HI	OE	new_oe	drlps_drivers	drpls_clients	dr_all_phase_sep
P32337	6.42	3.76	171	PSE1 KAP121 YMR308C YM9952.10C	NA	NA	NA	NA	NA	NA	NA
P32338	59	14.33	3.63	RME1 YGR044C	YGR044C	NA	1	NA	NA	NA	NA
P32339	14.51	1.89	2.24	HMX1 YLR205C L8167.18	NA	NA	NA	NA	NA	NA	NA
P32340	9.55	2.33	141	NDI1 YML120C YM7056.06C	NA	NA	NA	NA	NA	NA	NA
P32341	3.25	0	19.7	VPH2 CLS10 VMA12 YKL119C YKL520	NA	NA	NA	NA	NA	NA	NA
P32342	32.93	55.68	52.6	SRP21 YKL122C YKL527	NA	NA	NA	NA	NA	NA	NA
P32343	39.37	30.05	4.63	SSH4 MLF4 YKL124W YKL529	NA	NA	NA	NA	NA	NA	NA
P32344	24.32	66.66	2.48	QRI5 COX24 YLR204W	NA	NA	NA	NA	NA	NA	NA
P32345	4.22	0	26.1	PPH3 YDR075W D4421	YDR075W	NA	1	NA	NA	NA	NA
P32347	1.1	0.82	101	HEM12 HEM6 POP3 YDR047W YD9609.03	NA	NA	NA	NA	NA	NA	NA
P32349	20.18	15.13	76	RPC82 RPC3 YPR190C P9677.11	NA	NA	NA	NA	NA	NA	NA
P32350	44.77	25.23	1.91	KNS1 YLL019C	NA	NA	NA	NA	NA	NA	NA
P32351	46.82	32.94	37.7	IMP2' IMP2 YIL154C	NA	NA	NA	NA	NA	NA	NA
P32352	7.65	0	146	ERG2 YMR202W YM8325.03	NA	NA	NA	NA	NA	NA	1
P32353	16.43	3.56	333	ERG3 PSO6 SYR1 YLR056W L2150	NA	NA	NA	NA	NA	NA	NA
P32354	64.27	38.87	27.6	MCM10 DNA43 YIL150C	YIL150C	NA	1	NA	NA	NA	NA
P32356	13.18	12.11	71.4	NTH1 NTH YDR001C YD8119.07C	NA	NA	NA	NA	NA	NA	NA
P32357	13.23	8.45	51.5	AAR2 YBL074C YBL06.06 YBL0611	NA	NA	NA	NA	NA	NA	NA
P32361	31.21	8.34	3.73	IRE1 ERN1 YHR079C	NA	NA	NA	NA	NA	NA	NA
P32363	2.43	4.42	14	SPT14 CWH6 GPI3 YPL175W P2269	NA	NA	NA	NA	NA	NA	NA
P32364	25.6	25	31.7	SMY1 YKL079W YKL409	NA	NA	NA	NA	NA	NA	NA
P32366	0.57	0	148	VMA6 YLR447C L9324.8	NA	NA	NA	NA	NA	NA	NA
P32367	28.96	25.88	123	TFC1 YBR123C YBR0919	NA	NA	NA	NA	NA	NA	NA
P32368	2.4	0.8	508	SAC1 RSD1 YKL212W	NA	NA	NA	NA	NA	NA	NA
P32375	0.43	6.52	3.38	DAL1 YIR027C	NA	NA	NA	NA	NA	NA	NA
P32377	3.78	7.07	384	MVD1 ERG19 MPD YNR043W N3427	NA	NA	NA	NA	NA	NA	NA
P32378	16.66	2.41	6.26	COQ2 YNR041C N3419	NA	NA	NA	NA	NA	NA	NA
P32379	6.92	7.69	516	PUP2 DOA5 YGR253C G9155	NA	NA	NA	NA	NA	NA	NA
P32380	27.64	46.39	22.2	SPC110 NUF1 XCM1 YDR356W D9476.3	NA	NA	NA	NA	NA	1	1
P32381	0.76	4.85	162	ARP2 ACT2 YDL029W D2778	NA	NA	NA	NA	NA	NA	NA
P32383	19.79	6.44	1.67	PLC1 YPL268W	NA	NA	NA	NA	NA	NA	NA
P32385	27.3	15.26	1.6	RNP1 YLL046C	NA	NA	NA	NA	NA	NA	NA
P32386	19.8	3.37	123	YBT1 BAT1 YLL048C	NA	NA	NA	NA	NA	NA	NA
P32387	20.91	10.26	69.8	MRP20 MRPL41 YDR405W D9509.23	YDR405W	1	NA	NA	NA	NA	NA
P32388	10.21	0.72	30.3	MRP49 YKL167C YKL631	NA	NA	NA	NA	NA	NA	NA
P32389	77.67	71.57	30.1	MET4 YNL103W N2177	NA	NA	NA	NA	NA	NA	NA
P32419	0	2.62	206	MDH3 YDL078C D2468	NA	NA	NA	NA	NA	NA	NA
P32432	86.82	78.62	10.9	SFP1 YLR403W L8084.4	YLR403W	1	1	NA	NA	NA	NA
P32435	19.16	0.83	1.61	MF(ALPHA)2 MF-ALPHA-2 MFAL2 YGL089C	NA	NA	NA	NA	NA	NA	NA
P32445	22.22	17.03	110	RIM1 YCR028C-A YCR28C-A	NA	NA	NA	NA	NA	NA	NA
P32447	43.01	54.48	65	ASF1 CIA1 YJL115W J0755	NA	NA	NA	NA	NA	NA	NA
P32448	32.19	39.42	15.2	ASF2 YDL197C D1219	NA	NA	NA	NA	NA	NA	NA
P32449	5.4	9.18	995	ARO4 YBR249C YBR1701	NA	NA	NA	NA	NA	NA	NA
P32450	20.21	31.91	1.26	AUA1 YFL010W-A YFL010BW	NA	NA	NA	NA	NA	NA	NA
P32451	14.13	3.46	14.1	BIO2 YGR286C	NA	NA	NA	NA	NA	NA	NA
P32452	0.89	0.29	16.3	PHA2 YNL316C N0351	NA	NA	NA	NA	NA	NA	NA
P32453	23.27	13.52	48.6	ATP11 YNL315C N0357	NA	NA	NA	NA	NA	NA	NA
P32454	9.87	1.36	181	APE2 LAP1 YKL157W YKL158W YKL611 YKL612	YKL157W	NA	1	NA	NA	NA	NA
P32457	34.61	31.73	441	CDC3 YLR314C L8543.7	NA	NA	NA	NA	NA	NA	NA
P32458	20	21.68	107	CDC11 PSL9 YJR076C J1833	YJR076C	NA	1	NA	NA	NA	NA
P32459	0	4.1	5.23	DAL3 YIR032C	NA	NA	NA	NA	NA	NA	NA
P32460	1.22	1.63	8.44	DCG1 YIR030C	NA	NA	NA	NA	NA	NA	NA
P32461	19.28	14.79	45.4	DPH2 YKL191W	NA	NA	NA	NA	NA	1	1
P32462	1.59	0	66.9	ERG24 YNL280C N0593	NA	NA	NA	NA	NA	NA	NA
P32463	23.2	3.2	569	ACP1 YKL192C	NA	NA	NA	NA	NA	NA	NA
P32464	15.53	7.01	14.1	HYM1 YKL189W	NA	NA	NA	NA	NA	NA	NA
P32465	12.98	8.77	191	HXT1 HOR4 YHR094C	YHR094C	NA	1	NA	NA	NA	NA
P32466	12.52	7.23	566	HXT3 YDR345C D9651.14	NA	NA	NA	NA	NA	NA	NA
P32467	13.88	9.72	1.12	HXT4 LGT1 RAG1 YHR092C	NA	NA	NA	NA	NA	NA	NA
P32468	18.18	21.37	105	CDC12 CLA10 PSL7 YHR107C	NA	NA	NA	NA	NA	NA	NA
P32469	3	5.33	124	DPH5 YLR172C L9470.17	NA	NA	NA	NA	NA	NA	NA
P32471	14.56	22.33	2155	EFB1 TEF5 YAL003W	NA	NA	NA	NA	NA	1	1
P32472	16.29	0	321	FPR2 FKB2 YDR519W D9719.24	NA	NA	NA	NA	NA	NA	NA
P32473	8.74	0	186	PDB1 YBR221C YBR1511	NA	NA	NA	NA	NA	NA	NA
P32474	12.76	3.48	8.03	EUG1 YDR518W D9719.23	NA	NA	NA	NA	NA	NA	NA
P32475	0.86	0.86	1.78	YGR176W	NA	NA	NA	NA	NA	NA	NA
P32476	3.02	0	696	ERG1 YGR175C	NA	NA	NA	NA	NA	NA	NA
P32477	3.83	2.8	68.1	GSH1 YJL101C J0832	NA	NA	NA	NA	NA	NA	NA
P32478	64.64	31.96	108	HSP150 CCW7 ORE1 PIR2 YJL159W J0558	NA	NA	NA	NA	NA	NA	NA
P32479	36.19	18.21	8.05	HIR1 YBL008W YBL0318	NA	NA	NA	NA	NA	NA	NA
P32480	24	12.45	16.1	HIR2 YOR038C OR26.31	NA	NA	NA	NA	NA	NA	NA
P32481	15.37	17.26	500	GCD11 SUI4 TIF213 YER025W	NA	NA	NA	NA	NA	NA	NA
P32485	20.45	10.8	173	HOG1 SSK3 YLR113W L2931 L9354.2	NA	NA	NA	NA	NA	NA	NA
P32486	27.08	31.25	65.4	KRE6 CWH48 YPR159W	NA	NA	NA	NA	NA	NA	NA
P32487	16.53	13.09	70	LYP1 YNL268W N0790	NA	NA	NA	NA	NA	NA	NA
P32488	51.18	62.72	1.95	ISF1 MBR3 YMR081C YM9582.06C	NA	NA	NA	NA	NA	NA	NA
P32489	43.69	8.55	294	MEI5 YPL121C LPH6C	NA	NA	NA	NA	NA	NA	NA
P32490	40.15	33.66	8.96	MKK1 SSP32 YOR231W O5095	NA	NA	NA	NA	NA	NA	NA
P32491	40.31	22.33	24.6	MKK2 SSP33 YPL140C LPI6C	NA	NA	NA	NA	NA	NA	NA
P32492	24.74	4.28	56.7	MYO4 SHE1 YAL029C FUN22	YAL029C	NA	1	NA	NA	NA	NA
P32493	2.12	0.19	5.71	AEP1 NCA1 YMR064W YM9916.03	NA	NA	NA	NA	NA	NA	NA
P32494	50.71	63.24	24.9	NGG1 ADA3 SWI7 YDR176W YD9395.09	NA	NA	NA	NA	NA	NA	NA
P32495	10.89	19.23	165	NHP2 YDL208W D1045	NA	NA	NA	NA	NA	1	1
P32496	1.45	3.64	356	RPN12 NIN1 YFR052W	NA	NA	NA	NA	NA	NA	NA
P32497	22.53	17.48	897	NIP1 YMR309C YM9924.01C YM9952.11C	YMR309C	1	NA	1	NA	1	1
P32499	84.16	75.13	200	NUP2 YLR335W L8300.9	NA	NA	NA	NA	NA	NA	NA
P32500	33.12	8.85	68.7	NDC1 YML031W	YML031W	1	1	NA	NA	1	1
P32501	16.85	10.39	389	GCD6 TIF225 YDR211W YD8142.12 YD8142B.03	NA	NA	NA	NA	NA	NA	1
P32502	12.59	6.82	104	GCD7 TIF222 YLR291C L8003.17	NA	NA	NA	NA	NA	NA	1
P32504	42.25	17.36	14	CBF2 CBF3A CEP2 CTF14 NDC10 YGR140W	NA	NA	NA	NA	NA	NA	NA
P32505	55.8	47.8	207	"NAB2 YGL122C"	YGL122C	NA	1	NA	NA	NA	NA
P32521	88.17	74.12	99.6	PAN1 DIM2 MDP3 MIP3 YIR006C YIB6C	YIR006C	1	NA	NA	NA	NA	NA
P32522	3.83	0.51	9.92	PET309 YLR067C L2189	NA	NA	NA	NA	NA	NA	NA
P32523	2.58	4.97	100	PRP19 PSO4 YLL036C	NA	NA	NA	NA	NA	NA	NA
P32524	15	23.21	24.6	PRP21 SPP91 YJL203W J0322	NA	NA	NA	NA	NA	NA	NA
P32525	39.06	28.04	31.1	ECM25 YJL201W J0325	NA	NA	NA	NA	NA	NA	NA
P32526	46.73	26.7	4.87	KAR9 YPL269W	NA	NA	NA	NA	NA	1	1
P32527	13.16	29.56	1284	ZUO1 YGR285C	NA	NA	NA	NA	NA	1	1
P32528	5.44	2.61	108	DUR1,2 YBR208C YBR1448	NA	NA	NA	NA	NA	NA	NA
P32529	1.6	0	232	RPA12 RRN4 YJR063W J1747	NA	NA	NA	NA	NA	NA	NA
P32558	22.41	23.96	292	SPT16 CDC68 SSF1 YGL207W	NA	NA	NA	NA	NA	1	1
P32559	9.5	0	7.15	MSS1 PET53 YMR023C YM9711.13C	NA	NA	NA	NA	NA	NA	NA
P32561	11.54	8.31	56.6	RPD3 MOF6 REC3 SDI2 SDS6 YNL330C N0305	NA	NA	NA	NA	NA	NA	NA
P32562	32.34	11.91	12.3	CDC5 MSD2 PKX2 YMR001C YM8270.03C	YMR001C	NA	1	NA	NA	1	1
P32563	11.42	1.9	607	VPH1 YOR270C	NA	NA	NA	NA	NA	NA	NA
P32564	20.32	8.02	54.3	SCM4 YGR049W	YGR049W	NA	1	NA	NA	NA	NA
P32565	13.96	9.52	443	RPN2 SEN3 YIL075C	NA	NA	NA	NA	NA	NA	NA
P32566	47.52	58.61	163	SMI1 KNR4 KTR4 YGR229C G8553	NA	NA	NA	NA	NA	NA	NA
P32567	51.27	54.87	41.9	PAH1 PAP1 SMP2 YMR165C YM8520.14C	NA	NA	NA	NA	NA	NA	NA
P32568	13.99	5.86	55	SNQ2 YDR011W YD8119.16	YDR011W	NA	1	NA	NA	NA	NA
P32569	34.2	28.38	46.9	SRB4 MED17 YER022W	NA	NA	NA	NA	NA	NA	NA
P32570	17.35	7.43	24.1	SRB6 MED22 YBR253W YBR1721	NA	NA	NA	NA	NA	NA	NA
P32571	33.15	18.14	20.9	DOA4 DOS1 MUT4 NPI2 SSV7 UBP4 YDR069C D4270 YD8554.02C YD9609.23C	NA	NA	NA	NA	NA	NA	NA
P32572	35	8.66	1.38	SPS18 SPX18 YNL204C N1354	YNL204C	NA	1	NA	NA	NA	NA
P32573	4.1	0.34	4.66	SPS19 SPX19 YNL202W N1362	NA	NA	NA	NA	NA	NA	NA
P32578	77.54	61.34	9.39	SIP1 YDR422C D9461.11	NA	NA	NA	NA	NA	NA	NA
P32579	4.92	5.86	17.7	SUA5 YGL169W G1660	NA	NA	NA	NA	NA	NA	NA
P32580	6.37	1.35	15.5	SUV3 YPL029W LPB2W	NA	NA	NA	NA	NA	NA	NA
P32581	45.58	23.25	1.92	IME2 SME1 YJL106W J0817	NA	NA	NA	NA	NA	NA	NA
P32582	5.32	5.52	1390	CYS4 STR4 YGR155W G6667	NA	NA	NA	NA	NA	1	1
P32583	98.76	95.07	170	SRP40 YKR092C YKR412A	YKR092C	NA	1	NA	NA	1	1
P32584	5.43	0	28.4	STE14 YDR410C D9461.1	NA	NA	NA	NA	NA	NA	NA
P32585	13.35	16.28	9.63	SRB5 MED18 YGR104C	NA	NA	NA	NA	NA	NA	NA
P32588	39.51	54.74	552	PUB1 RNP1 YNL016W N2842	NA	NA	NA	NA	1	NA	1
P32589	11.97	17.89	2797	SSE1 MSI3 YPL106C LPG3C	NA	NA	NA	NA	NA	1	1
P32590	12.55	14.43	158	SSE2 HSP YBR169C YBR1221	NA	NA	NA	NA	NA	NA	NA
P32591	66.06	52.24	44.4	SWI3 TYE2 YJL176C J0495	YJL176C	NA	1	NA	NA	NA	NA
P32597	33.77	24.72	63.2	STH1 NPS1 YIL126W	YIL126W	1	NA	NA	NA	1	1
P32598	5.44	2.88	443	GLC7 CID1 DIS2 YER133W	YER133W	1	NA	1	NA	1	1
P32599	8.41	10.43	297	SAC6 YDR129C YD9302.04C	NA	NA	NA	NA	NA	1	1
P32600	12.97	4.4	11.8	TOR2 DRR2 TSC14 YKL203C	YKL203C	NA	1	NA	NA	NA	NA
P32601	2.79	0	22.7	DSS4 YPR017C LPZ16C YP9531.11C	NA	NA	NA	NA	NA	NA	NA
P32602	6.84	1.02	99.2	SEC17 YBL050W YBL0505 YBL0517	YBL050W	NA	1	NA	NA	NA	NA
P32603	6.29	0.22	1.33	SPR1 SSG1 YOR190W	NA	NA	NA	NA	NA	NA	NA
P32604	7.52	1.99	25.5	FBP26 YJL155C J0575	NA	NA	NA	NA	NA	NA	NA
P32605	20.13	17.11	20.8	MUD1 YBR119W YBR0915	NA	NA	NA	NA	NA	NA	NA
P32606	30.5	20.25	19.3	PET127 YOR017W OR26.07	NA	NA	NA	NA	NA	NA	NA
P32607	49.15	63.84	42.4	RTG1 YOL067C	NA	NA	NA	NA	NA	NA	NA
P32608	5.61	0.85	69.8	RTG2 YGL252C NRF588	NA	NA	NA	NA	NA	NA	NA
P32609	21.55	8.73	10.2	PEP7 VAC1 VPL21 VPS19 VPT19 YDR323C	NA	NA	NA	NA	NA	NA	NA
P32610	22.65	13.28	158	VMA8 YEL051W SYGP-ORF11	NA	NA	NA	NA	NA	NA	NA
P32611	20.61	24.93	21.6	RML2 YEL050C SYGP-ORF37	NA	NA	NA	NA	NA	NA	NA
P32612	28.33	0	1.12	PAU2 YEL049W SYGP-ORF12	NA	NA	NA	NA	NA	NA	NA
P32613	1.31	0	72.1	TCA17 YEL048C SYGP-ORF36	NA	NA	NA	NA	NA	NA	NA
P32614	1.91	5.53	271	FRD1 FRDS FRDS1 YEL047C SYGP-ORF35	NA	NA	NA	NA	NA	NA	NA
P32616	4.96	0	1.49	YEL045C SYGP-ORF33	YEL045C	NA	1	NA	NA	NA	NA
P32617	22.28	40.36	29.2	IES6 YEL044W SYGP-ORF13	NA	NA	NA	NA	NA	NA	NA
P32618	79.7	50.62	14.7	YEL043W SYGP-ORF14	NA	NA	NA	NA	NA	1	1
P32621	17.95	7.91	176	GDA1 YEL042W SYGP-ORF16	NA	NA	NA	NA	NA	NA	NA
P32622	29.09	11.31	3.65	YEF1 YEL041W SYGP-ORF17	NA	NA	NA	NA	NA	NA	NA
P32623	32.97	28.69	68	UTR2 CRH2 YEL040W SYGP-ORF18	NA	NA	NA	NA	NA	NA	NA
P32626	0.44	0.88	39.7	UTR4 YEL038W SYGP-ORF20	NA	NA	NA	NA	NA	NA	NA
P32628	42.71	61.05	230	RAD23 YEL037C SYGP-ORF29	NA	NA	NA	NA	NA	NA	NA
P32629	30	21	12.8	ANP1 GEM3 YEL036C SYGP-ORF28	YEL036C	NA	1	NA	NA	NA	NA
P32630	8.43	2.4	1.42	UTR5 YEL035C SYGP-ORF27	YEL035C	1	NA	1	NA	NA	NA
P32633	15.82	10.79	2.73	MTC7 YEL033W SYGP-ORF22	NA	NA	NA	NA	NA	NA	NA
P32634	63.09	47.29	15.8	PMD1 YER132C SYGP-ORF50	YER132C	NA	1	NA	NA	NA	NA
P32639	11.32	8.36	33.9	BRR2 RSS1 SNU246 YER172C SYGP-ORF66	NA	NA	NA	NA	NA	NA	NA
P32641	32.01	20.03	7.26	RAD24 YER173W SYGP-ORF60	NA	NA	NA	NA	NA	NA	NA
P32642	11.47	12.29	62.4	GRX4 YER174C SYGP-ORF64	YER174C	NA	1	NA	NA	NA	NA
P32643	0.33	0	23.7	TMT1 TAM1 YER175C SYGP-ORF63	NA	NA	NA	NA	NA	NA	NA
P32644	31.48	26.58	23.4	ECM32 HEL1 MTT1 YER176W SYGP-ORF61	NA	NA	NA	NA	NA	1	1
P32645	26.96	16.47	1.52	ISC10 YER180C SYGP-ORF62	NA	NA	NA	NA	NA	NA	NA
P32656	7.32	15.94	17.9	GCG1 YER163C SYGP-ORF3	NA	NA	NA	NA	NA	1	1
P32657	37.87	36.1	48.6	CHD1 YER164W SYGP-ORF4	NA	NA	NA	NA	NA	1	1
P32660	30.49	19.28	21	DNF1 YER166W SYGP-ORF7	NA	NA	NA	NA	NA	NA	NA
P32767	3.7	0.46	84.4	KAP122 PDR6 YGL016W	YGL016W	NA	1	NA	NA	NA	NA
P32768	83.27	66.03	17.8	FLO1 FLO2 FLO4 FLO8 YAR050W	NA	NA	NA	NA	NA	NA	NA
P32769	22.25	14.4	48.2	HBS1 YKR084C YKR404	NA	NA	NA	NA	NA	NA	NA
P32770	46.17	39.77	42.8	NRP1 ARP ARP1 YDL167C	NA	NA	NA	NA	NA	NA	1
P32771	1.29	0.51	218	SFA1 SFA YDL168W	NA	NA	NA	NA	NA	NA	NA
P32772	30.94	56.05	1.47	UGX2 YDL169C	NA	NA	NA	NA	NA	NA	NA
P32773	62.23	65.38	2.02	TOA1 YOR194C	NA	NA	NA	NA	NA	NA	NA
P32774	8.19	8.19	36.2	TOA2 YKL058W	NA	NA	NA	NA	NA	NA	NA
P32775	0.42	0.28	36.7	GLC3 YEL011W	NA	NA	NA	NA	NA	NA	NA
P32776	34.89	26.79	43.2	TFB1 YDR311W D9740.3	YDR311W	NA	1	NA	NA	NA	NA
P32781	28.73	0	8.33	AGA2 YGL032C	NA	NA	NA	NA	NA	NA	NA
P32783	28.89	22.93	30.4	ABD1 YBR236C YBR1602	YBR236C	1	NA	1	NA	NA	NA
P32784	26.74	18.7	38.5	SCT1 GAT2 YBL011W YBL0309 YBL0315	NA	NA	NA	NA	NA	NA	NA
P32785	8.47	7.98	10.7	FMT1 YBL013W YBL0311 YBL0313	NA	NA	NA	NA	NA	NA	NA
P32786	31.31	18.56	3.75	RRN6 YBL014C YBL0311 YBL0312	YBL014C	NA	1	NA	NA	NA	NA
P32787	34.94	13.38	59.9	MGM101 MGM9 YJR144W J2181	NA	NA	NA	NA	NA	NA	NA
P32788	47.85	21.07	11.8	YBL010C YBL0316	NA	NA	NA	NA	NA	NA	NA
P32789	52.51	34.76	1.59	ALK2 YBL009W YBL0317	YBL009W	NA	1	NA	NA	NA	NA
P32790	73.39	65.27	133	SLA1 YBL007C YBL0321	NA	NA	NA	NA	NA	NA	NA
P32791	5.53	1.45	17.6	FRE1 YLR214W L8167.2	NA	NA	NA	NA	NA	NA	NA
P32792	7.53	2.85	4.36	YSC83 YHR017W	YHR017W	NA	1	NA	NA	NA	NA
P32793	41.45	45.51	3.32	YSC84 LSB4 YHR016C	NA	NA	NA	NA	NA	NA	NA
P32794	24.23	7.05	32.5	AFG2 DRG1 YLR397C L8084.16	NA	NA	NA	NA	NA	NA	NA
P32795	24.36	14.99	195	YME1 OSD1 YTA11 YPR024W YP9367.04	YPR024W	NA	1	NA	NA	NA	NA
P32796	11.79	1.19	111	CAT2 CAT YCAT YML042W YM8054.01	YML042W	NA	1	NA	NA	NA	NA
P32797	23.8	12.87	17.3	CDC13 YDL220C	YDL220C	NA	1	NA	NA	NA	NA
P32798	32.34	18.22	32.4	COT1 YOR316C O6131	NA	NA	NA	NA	NA	NA	NA
P32799	44.18	6.97	14.9	COX13 YGL191W G1341	NA	NA	NA	NA	NA	NA	NA
P32800-2	8.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P32800	5.53	0	7.38	PEX2 CRT1 PAS5 YJL210W HRA271 J0240	YJL210W	NA	1	NA	NA	NA	NA
P32801	48.43	22.03	9.29	ELM1 YKL048C YKL261	NA	NA	NA	NA	NA	NA	NA
P32802	4.79	4.49	49.1	EMP70 TMN1 YLR083C L2385 L9449.11	NA	NA	NA	NA	NA	NA	NA
P32803	7.88	1.47	410	EMP24 YGL200C G1271	NA	NA	NA	NA	NA	NA	NA
P32804	21.27	5.05	71.9	ZRT1 YGL255W NRC376	NA	NA	NA	NA	NA	NA	NA
P32805	0.66	43.81	17	FZF1 SUL1 YGL254W NCR299	NA	NA	NA	NA	NA	NA	NA
P32806	16.15	6.55	30.2	GYP6 YJL044C J1202	NA	NA	NA	NA	NA	NA	NA
P32807	12.79	2.99	29.3	YKU70 HDF1 NES24 YMR284W YM8021.10	NA	NA	NA	NA	NA	NA	NA
P32828	27.14	47.81	2.13	SLX5 HEX3 YDL013W D2875	YDL013W	NA	1	NA	NA	NA	NA
P32829	31.5	32.51	5.17	MRE11 YMR224C YM9959.06C	NA	NA	NA	NA	NA	NA	NA
P32830	15.59	0	2.05	TIM12 MRS5 YBR091C YBR0812	NA	NA	NA	NA	NA	NA	NA
P32831	53.12	55.65	30.8	NGR1 RBP1 YBR212W YBR1459	NA	NA	NA	NA	NA	1	1
P32832	35.86	37.01	50.1	NPL6 RSC7 YMR091C YM9582.16C	YMR091C	1	NA	NA	NA	1	1
P32833	40.96	40	13.8	ORC2 RRR1 SIR5 YBR060C YBR0523	NA	NA	NA	NA	NA	NA	NA
P32835	7.3	10.04	318	GSP1 CNR1 CST17 YLR293C L8003.19	YLR293C	NA	1	NA	NA	NA	1
P32836	7.27	10.9	633	GSP2 CNR2 YOR185C	YOR185C	NA	1	NA	NA	NA	1
P32837	12.78	0.7	1.52	UGA4 YDL210W D1037	NA	NA	NA	NA	NA	NA	NA
P32838	8.69	4.89	16.9	PPG1 PPG YNR032W N3281	YNR032W	NA	1	NA	NA	NA	NA
P32839	10.52	6.79	22.9	BCS1 YDR375C D9481.17	YDR375C	NA	1	NA	NA	NA	NA
P32841	59.57	51.63	0.224	REC114 YMR133W YM9375.02	NA	NA	NA	NA	NA	NA	NA
P32842	7.31	0	36.9	VMA11 CLS9 TFP3 YPL234C P1064	NA	NA	NA	NA	NA	NA	1
P32843	16.35	8.94	59.1	YME2 PRP12 RNA12 YMR302C YM9952.04C	NA	NA	NA	NA	NA	NA	NA
P32844	6.7	0.74	25.8	SEC6 YIL068C	NA	NA	NA	NA	NA	NA	NA
P32849	37.98	14.79	12.8	RAD5 REV2 SNM2 YLR032W	NA	NA	NA	NA	NA	NA	NA
P32854	23.95	12.15	1.37	PEP12 VPS6 VPT13 YOR036W OR26.29	YOR036W	NA	1	NA	NA	NA	NA
P32855	24.69	9.48	16	SEC8 YPR055W YP9499.11	NA	NA	NA	NA	NA	NA	NA
P32857	17.97	6.3	7.32	PTM1 YKL039W YKL252	YKL039W	NA	1	NA	NA	NA	NA
P32858	2.54	0	1.29	AIM26 YKL037W YKL250	NA	NA	NA	NA	NA	NA	NA
P32859	9.23	7.69	1.59	YKL036C YKL249	NA	NA	NA	NA	NA	NA	NA
P32860	17.18	7.03	179	NFU1 NUB1 YKL040C YKL253	NA	NA	NA	NA	NA	1	1
P32861	3	5.61	474	UGP1 YKL035W YKL248	NA	NA	NA	NA	NA	1	1
P32862	56.06	51.7	3.84	RGT1 YKL038W YKL251	NA	NA	NA	NA	NA	NA	NA
P32863	25.27	23.05	2.61	RAD54 YGL163C G1821	NA	NA	NA	NA	NA	NA	NA
P32864	26.03	7.96	205	MRS6 MSI4 YOR370C	NA	NA	NA	NA	NA	NA	NA
P32867	16.2	22.41	58.2	SSO1 YPL232W P1405	YPL232W	NA	1	NA	NA	NA	NA
P32873	56.11	48.67	33.4	BEM3 YPL115C LPH12C	NA	NA	NA	NA	NA	NA	NA
P32874	17.86	0.96	5.47	HFA1 YMR207C YM8261.01C YM8325.08C	NA	NA	NA	NA	NA	NA	NA
P32875	22.7	22.7	42.7	LIP5 YOR196C	NA	NA	NA	NA	NA	NA	NA
P32891	16.86	6.13	145	DLD1 DLD YDL174C	NA	NA	NA	NA	NA	NA	NA
P32892	39.89	38.96	56.5	DRS1 YLL008W L1345	NA	NA	NA	NA	NA	1	1
P32893	28.21	10.17	13.4	TRS65 KRE11 YGR166W	YGR166W	NA	1	NA	NA	NA	NA
P32895	21.54	13.34	237	PRS1 PPS1 PRP1 PRPS PRPS1 YKL181W	NA	NA	NA	NA	NA	1	1
P32896	42.37	35.78	9.23	PDC2 YDR081C D4451	NA	NA	NA	NA	NA	NA	NA
P32897	24.77	12.61	54.2	TIM23 MAS6 MIM23 MPI3 YNR017W N3180	YNR017W	NA	1	NA	NA	NA	NA
P32898	4.24	1.92	86.6	CYM1 MOP112 YDR430C D9461.18	NA	NA	NA	NA	NA	1	1
P32899	0.54	2.18	61.4	IMP3 YHR148W	YHR148W	1	NA	NA	NA	NA	NA
P32900	81.06	83.51	23	SKG6 YHR149C	NA	NA	NA	NA	NA	NA	NA
P32901	17.3	9.81	23.3	PTR2 YKR093W YKR413	YKR093W	NA	1	NA	NA	NA	NA
P32902	19.28	25.12	169	MRP4 MRP4A YHL004W	NA	NA	NA	NA	NA	NA	NA
P32903	2.5	0	1268	PMP1 YCR024C-A YCR24C-A	NA	NA	NA	NA	NA	NA	NA
P32904	6.54	6.07	65.6	MRPL6 YHR147C	NA	NA	NA	NA	NA	NA	NA
P32905	3.57	17.06	859	RPS0A NAB1 NAB1A YST1 YGR214W	YGR214W	1	NA	NA	NA	1	1
P32906	4.37	0	67.7	MNS1 YJR131W J2110	NA	NA	NA	NA	NA	NA	NA
P32907	14.53	10.99	1.41	ATO2 FUN34 YNR002C N2029	NA	NA	NA	NA	NA	NA	NA
P32908	25.06	10.04	77.6	SMC1 CHL10 YFL008W	YFL008W	1	NA	NA	NA	NA	NA
P32909	80	54.72	58.8	SMY2 YBR172C YBR1233	YBR172C	NA	1	NA	NA	1	1
P32910	5.36	2.83	14.6	RPC34 YNR003C N2031	NA	NA	NA	NA	NA	NA	NA
P32911	2.77	8.33	709	SUI1 RFR1 YNL244C N0905	NA	NA	NA	NA	NA	NA	NA
P32912	14.87	35.12	31.4	VAM7 YGL212W	NA	NA	NA	NA	NA	NA	NA
P32913	35.2	32.66	81.2	VPS17 PEP21 YOR132W O3314 YOR3314W	NA	NA	NA	NA	NA	NA	NA
P32914	3.92	2.94	73.7	SPT4 YGR063C	NA	NA	NA	NA	NA	NA	NA
