"uniprot_id"	"disopred_percent_bin"	"iupred_percent_bin"
"4544"	"P55055"	"high"	"high"
"4545"	"Q9H7Z3"	"high"	"mid"
"4546"	"O95989"	"mid"	"mid"
"4547"	"Q99567"	"mid"	"mid"
"4548"	"P0C628"	"low"	"low"
"4549"	"Q9HCN3"	"mid"	"low"
"4550"	"Q15077"	"low"	"low"
"4551"	"Q86YR6"	"high"	"high"
"4552"	"Q86UA1"	"mid"	"mid"
"4553"	"P86479"	"high"	"high"
"4554"	"Q6NWY9"	"high"	"high"
"4555"	"P0DMW2"	"low"	"low"
"4556"	"O95294"	"low"	"low"
"4557"	"Q96T37"	"high"	"high"
"4558"	"Q7Z5J4"	"high"	"high"
"4559"	"Q96IS3"	"high"	"high"
"4560"	"Q5UIP0"	"high"	"high"
"4561"	"Q5W5W9"	"mid"	"mid"
"4562"	"Q9H628"	"mid"	"low"
"4563"	"P35251"	"high"	"high"
"4564"	"Q8TEB9"	"mid"	"mid"
"4565"	"Q8IWW6"	"high"	"high"
"4566"	"P61927"	"mid"	"high"
"4567"	"P62899"	"mid"	"mid"
"4568"	"P06899"	"mid"	"high"
"4569"	"P42261"	"low"	"low"
"4570"	"P09211"	"low"	"low"
"4571"	"Q5TGJ6"	"high"	"high"
"4572"	"Q9H422"	"high"	"high"
"4573"	"P0CJ68"	"mid"	"low"
"4574"	"Q9NQG7"	"high"	"high"
"4575"	"P0CJ70"	"low"	"low"
"4576"	"O97980"	"low"	"mid"
"4577"	"P13985"	"high"	"high"
"4578"	"Q9NSB8"	"high"	"high"
"4579"	"Q14568"	"mid"	"high"
"4580"	"P34931"	"low"	"low"
"4581"	"P26583"	"high"	"high"
"4582"	"Q6B9Z1"	"mid"	"low"
"4583"	"P30740"	"low"	"low"
"4584"	"P01859"	"low"	"mid"
"4585"	"Q9H2K0"	"high"	"high"
"4586"	"Q01628"	"high"	"low"
"4587"	"Q13007"	"mid"	"low"
"4588"	"P01705"	"low"	"mid"
"4589"	"Q96N16"	"high"	"high"
"4590"	"Q9NSB4"	"mid"	"low"
"4591"	"Q13557"	"mid"	"mid"
"4592"	"Q05655"	"low"	"low"
"4593"	"O60928"	"low"	"low"
"4594"	"Q8NBR6"	"high"	"high"
"4595"	"Q7Z3K6"	"high"	"high"
"4596"	"O60487"	"mid"	"low"
"4597"	"Q7RTX9"	"mid"	"mid"
"4598"	"Q70IA8"	"mid"	"low"
"4599"	"Q99550"	"high"	"high"
"4600"	"P43246"	"low"	"low"
"4601"	"Q14149"	"high"	"high"
"4602"	"Q9UBK8"	"low"	"low"
"4603"	"Q13505"	"high"	"high"
"4604"	"Q8NH60"	"low"	"low"
"4605"	"Q6ZVC0"	"high"	"high"
"4606"	"Q9UJX0"	"mid"	"mid"
"4607"	"Q9Y4A9"	"low"	"low"
"4608"	"Q8NGS7"	"low"	"low"
"4609"	"Q6NXP6"	"low"	"low"
"4610"	"Q8NHC7"	"low"	"low"
"4611"	"Q8IXE1"	"low"	"low"
"4612"	"Q8NGE8"	"low"	"low"
"4613"	"A0A0X1KG70"	NA	NA
"4614"	"Q13606"	"low"	"low"
"4615"	"Q8NGB9"	"low"	"low"
"4616"	"Q8NGM8"	"low"	"low"
"4617"	"Q8NGD2"	"low"	"low"
"4618"	"Q8NGY6"	"low"	"low"
"4619"	"Q13415"	"high"	"high"
"4620"	"Q8NH49"	"low"	"low"
"4621"	"Q96R28"	"low"	"low"
"4622"	"O95340"	"low"	"mid"
"4623"	"Q9GZP0"	"low"	"low"
"4624"	"Q8TE04"	"high"	"high"
"4625"	"Q9P2E7"	"mid"	"high"
"4626"	"Q13258"	"mid"	"low"
"4627"	"Q15366"	"high"	"high"
"4628"	"Q9UN67"	"low"	"mid"
"4629"	"Q13087"	"mid"	"mid"
"4630"	"P11940"	"high"	"high"
"4631"	"Q9BZA7"	"high"	"high"
"4632"	"P50542"	"high"	"high"
"4633"	"B7ZBB8"	"high"	"high"
"4634"	"Q92786"	"high"	"high"
"4635"	"P62424"	"mid"	"mid"
"4636"	"O14662"	"high"	"mid"
"4637"	"Q9UBX7"	"mid"	"mid"
"4638"	"P41159"	"low"	"low"
"4639"	"Q5T871"	"mid"	"mid"
"4640"	"P22888"	"low"	"low"
"4641"	"Q8TF66"	"mid"	"low"
"4642"	"Q8NGH6"	"low"	"low"
"4643"	"O60683"	"low"	"low"
"4644"	"A8MUH7"	"mid"	"high"
"4645"	"Q4J6C6"	"low"	"low"
"4646"	"P54821"	"high"	"high"
"4647"	"Q9UI14"	"mid"	"low"
"4648"	"Q5VXH4"	"low"	"low"
"4649"	"O00743"	"low"	"low"
"4650"	"P29350"	"low"	"mid"
"4651"	"P49768"	"high"	"mid"
"4652"	"P23467"	"low"	"mid"
"4653"	"P23469"	"mid"	"mid"
"4654"	"P62877"	"mid"	"low"
"4655"	"Q9NRW1"	"mid"	"mid"
"4656"	"Q9H0N0"	"mid"	"mid"
"4657"	"P29762"	"low"	"low"
"4658"	"Q15042"	"mid"	"mid"
"4659"	"Q9P1G2"	"low"	"high"
"4660"	"Q8IZ41"	"high"	"high"
"4661"	"Q9NTZ6"	"high"	"high"
"4662"	"P26374"	"high"	"mid"
"4663"	"Q13637"	"mid"	"mid"
"4664"	"Q9Y4F9"	"high"	"high"
"4665"	"Q5JT25"	"mid"	"mid"
"4666"	"P46060"	"mid"	"mid"
"4667"	"Q5TAB7"	"high"	"high"
"4668"	"O76081"	"mid"	"high"
"4669"	"O15034"	"high"	"high"
"4670"	"Q9NS39"	"high"	"high"
"4671"	"Q9BWJ2"	"low"	"high"
"4672"	"P98171"	"high"	"high"
"4673"	"P46779"	"low"	"high"
"4674"	"P19474"	"low"	"low"
"4675"	"Q15287"	"high"	"high"
"4676"	"Q9H920"	"low"	"low"
"4677"	"Q9UBS8"	"mid"	"low"
"4678"	"Q9H0A6"	"mid"	"mid"
"4679"	"Q9H6Y7"	"mid"	"mid"
"4680"	"Q96P68"	"mid"	"low"
"4681"	"Q8WWY3"	"high"	"high"
"4682"	"Q2TAK8"	"high"	"high"
"4683"	"Q9NW64"	"high"	"high"
"4684"	"P25800"	"mid"	"low"
"4685"	"Q6ZSC3"	"mid"	"mid"
"4686"	"Q96AX2"	"mid"	"mid"
"4687"	"P20337"	"mid"	"mid"
"4688"	"Q8NHV9"	"high"	"high"
"4689"	"Q99496"	"high"	"high"
"4690"	"Q8N431"	"mid"	"mid"
"4691"	"O75570"	"low"	"low"
"4692"	"Q6ZTI6"	"high"	"high"
"4693"	"P48304"	"mid"	"low"
"4694"	"Q13151"	"high"	"high"
"4695"	"Q96MS0"	"high"	"high"
"4696"	"Q8TDE3"	"mid"	"low"
"4697"	"P0DH78"	"mid"	"mid"
"4698"	"P51449"	"high"	"high"
"4699"	"Q96DV4"	"low"	"mid"
"4700"	"P19387"	"low"	"mid"
"4701"	"Q5VZM2"	"mid"	"mid"
"4702"	"Q96GC5"	"mid"	"low"
"4703"	"Q9H1D9"	"low"	"mid"
"4704"	"Q15050"	"high"	"high"
"4705"	"Q9BXU7"	"high"	"mid"
"4706"	"Q9UIK5"	"low"	"mid"
"4707"	"P10828"	"high"	"mid"
"4708"	"Q86YJ6"	"low"	"low"
"4709"	"Q12789"	"high"	"mid"
"4710"	"Q9UKU6"	"mid"	"mid"
"4711"	"Q6UXZ0"	"low"	"low"
"4712"	"Q6URK8"	"low"	"low"
"4713"	"Q9H3S3"	"mid"	"mid"
"4714"	"B7Z8K6"	"low"	"high"
"4715"	"P01848"	"mid"	"mid"
"4716"	"A0JD37"	NA	NA
"4717"	"Q6UWJ1"	"mid"	"low"
"4718"	"A6NGJ6"	"low"	"low"
"4719"	"Q8IV31"	"mid"	"high"
"4720"	"Q08117"	"high"	"mid"
"4721"	"O75365"	"low"	"low"
"4722"	"Q9BZW5"	"low"	"low"
"4723"	"Q8TDI8"	"mid"	"mid"
"4724"	"Q9NZ63"	"high"	"high"
"4725"	"Q8N614"	"low"	"low"
"4726"	"Q7L0Y3"	"mid"	"mid"
"4727"	"A0A0A6YYJ7"	"mid"	"low"
"4728"	"A0A589"	NA	NA
"4729"	"Q7Z2W7"	"mid"	"low"
"4730"	"A0A0B4J272"	"low"	"low"
"4731"	"P01222"	"low"	"low"
"4732"	"P49815"	"high"	"mid"
"4733"	"Q6NUM6"	"mid"	"mid"
"4734"	"Q6ZN44"	"mid"	"mid"
"4735"	"Q8N806"	"mid"	"mid"
"4736"	"O95847"	"low"	"low"
"4737"	"P49459"	"low"	"high"
"4738"	"Q5T124"	"high"	"high"
"4739"	"P0CG48"	"low"	"mid"
"4740"	"O95881"	"mid"	"mid"
"4741"	"Q96K76"	"high"	"mid"
"4742"	"Q9Y3M8"	"high"	"high"
"4743"	"Q9HBF5"	"mid"	"low"
"4744"	"Q9C0H9"	"high"	"high"
"4745"	"Q92783"	"high"	"high"
"4746"	"O43463"	"low"	"low"
"4747"	"O95425"	"high"	"high"
"4748"	"O75716"	"low"	"mid"
"4749"	"Q6NZ63"	"low"	"low"
"4750"	"Q8TDR2"	"high"	"high"
"4751"	"O76094"	"mid"	"high"
"4752"	"Q2M3V2"	"high"	"high"
"4753"	"Q6NVH7"	"low"	"high"
"4754"	"Q13285"	"high"	"mid"
"4755"	"O75683"	"high"	"high"
"4756"	"Q6UWH6"	"mid"	"low"
"4757"	"M5A8F1"	"low"	"mid"
"4758"	"P35270"	"low"	"low"
"4759"	"Q9UJZ1"	"mid"	"mid"
"4760"	"Q9BR10"	"mid"	"high"
"4761"	"O75494"	"high"	"high"
"4762"	"Q7Z5L4"	"low"	"high"
"4763"	"Q5VTQ0"	"mid"	"mid"
"4764"	"P14868"	"low"	"mid"
"4765"	"Q15750"	"high"	"high"
"4766"	"Q9NYW2"	"mid"	"low"
"4767"	"Q9NX61"	"low"	"low"
"4768"	"A2VDJ0"	"high"	"mid"
"4769"	"Q3YBM2"	"mid"	"mid"
"4770"	"Q9NYV9"	"low"	"low"
"4771"	"P59542"	"mid"	"low"
"4772"	"P23258"	"low"	"low"
"4773"	"Q9HA65"	"mid"	"mid"
"4774"	"Q9P2M4"	"high"	"high"
"4775"	"P37837"	"low"	"low"
"4776"	"A0A0A0MT70"	NA	NA
"4777"	"O60522"	"high"	"mid"
"4778"	"Q00059"	"mid"	"mid"
"4779"	"Q96S53"	"high"	"high"
"4780"	"Q8TB96"	"low"	"low"
"4781"	"Q96EI5"	"high"	"high"
"4782"	"P34981"	"mid"	"low"
"4783"	"P11387"	"high"	"high"
"4784"	"Q9NZR1"	"mid"	"high"
"4785"	"Q6ZSZ6"	"high"	"high"
"4786"	"O15391"	"high"	"high"
"4787"	"Q9UMW8"	"low"	"mid"
"4788"	"O95045"	"low"	"low"
"4789"	"Q9NX01"	"low"	"low"
"4790"	"P0DTE4"	NA	NA
"4791"	"Q8NBM4"	"mid"	"mid"
"4792"	"P57075"	"low"	"low"
"4793"	"P63146"	"low"	"mid"
"4794"	"Q9HBJ7"	"high"	"high"
"4795"	"O75604"	"high"	"mid"
"4796"	"Q70EK8"	"high"	"high"
"4797"	"Q15836"	"high"	"mid"
"4798"	"O75063"	"low"	"low"
"4799"	"A8MXK1"	"mid"	"low"
"4800"	"Q96N03"	"mid"	"high"
"4801"	"Q14191"	"high"	"mid"
"4802"	"Q969X6"	"low"	"low"
"4803"	"O14905"	"mid"	"low"
"4804"	"O14904"	"mid"	"mid"
"4805"	"Q9HBG4"	"low"	"low"
"4806"	"Q9Y4E6"	"mid"	"mid"
"4807"	"O95785"	"high"	"high"
"4808"	"Q9H269"	"low"	"low"
"4809"	"Q9UID3"	"mid"	"mid"
"4810"	"Q96JC1"	"low"	"low"
"4811"	"P63124"	"low"	"low"
"4812"	"Q9H1F0"	"low"	"low"
"4813"	"P63123"	"low"	"low"
"4814"	"Q6ZS52"	"mid"	"high"
"4815"	"Q7Z4H8"	"low"	"low"
"4816"	"P49207"	"low"	"mid"
"4817"	"Q6DKI1"	"low"	"low"
"4818"	"Q8WZ75"	"high"	"high"
"4819"	"Q13464"	"high"	"high"
"4820"	"E7ERA6"	"high"	"high"
"4821"	"O15446"	"high"	"high"
"4822"	"Q01974"	"high"	"mid"
"4823"	"Q8N114"	"high"	"mid"
"4824"	"Q9NTG7"	"mid"	"mid"
"4825"	"Q06520"	"low"	"low"
"4826"	"Q9P2C4"	"mid"	"mid"
"4827"	"Q13103"	"mid"	"mid"
"4828"	"P49903"	"low"	"low"
"4829"	"Q9UJW9"	"high"	"high"
"4830"	"Q01130"	"high"	"high"
"4831"	"Q8NBK3"	"mid"	"mid"
"4832"	"P63165"	"mid"	"high"
"4833"	"P53804"	"high"	"mid"
"4834"	"Q13242"	"mid"	"high"
"4835"	"O75486"	"mid"	"mid"
"4836"	"O75762"	"low"	"low"
"4837"	"A0A0B4J275"	"low"	"mid"
"4838"	"P0CW00"	"high"	"mid"
"4839"	"Q96QS1"	"mid"	"low"
"4840"	"O94874"	"mid"	"mid"
"4841"	"P49427"	"mid"	"mid"
"4842"	"P11441"	"mid"	"low"
"4843"	"P60604"	"low"	"mid"
"4844"	"A6PVC2"	"high"	"mid"
"4845"	"Q96LR5"	"mid"	"high"
"4846"	"Q9UHP3"	"mid"	"mid"
"4847"	"Q8IYN6"	"high"	"high"
"4848"	"Q70EL4"	"high"	"high"
"4849"	"P0C7P4"	"high"	"low"
"4850"	"Q86T82"	"high"	"high"
"4851"	"Q92890"	"mid"	"mid"
"4852"	"O15205"	"low"	"low"
"4853"	"Q8NEY4"	"low"	"mid"
"4854"	"Q9H598"	"mid"	"mid"
"4855"	"Q86V25"	"mid"	"high"
"4856"	"P67809"	"high"	"high"
"4857"	"Q96EC8"	"mid"	"mid"
"4858"	"Q86VM9"	"high"	"high"
"4859"	"Q8IUH4"	"low"	"low"
"4860"	"A6NEH8"	"mid"	"high"
"4861"	"O15209"	"high"	"high"
"4862"	"P17036"	"mid"	"mid"
"4863"	"Q8IUH5"	"low"	"low"
"4864"	"Q66K41"	"high"	"high"
"4865"	"A4D1E1"	"high"	"mid"
"4866"	"Q9NYG2"	"low"	"low"
"4867"	"Q8NAP8"	"high"	"high"
"4868"	"Q9H853"	"low"	"mid"
"4869"	"Q9BQS2"	"high"	"mid"
"4870"	"Q99576"	"high"	"mid"
"4871"	"B9EJG8"	"mid"	"low"
"4872"	"O76070"	"high"	"high"
"4873"	"P59536"	"mid"	"low"
"4874"	"Q9H6P5"	"mid"	"mid"
"4875"	"Q9ULP9"	"low"	"low"
"4876"	"Q9BSF4"	"mid"	"low"
"4877"	"Q8WUH2"	"low"	"low"
"4878"	"Q96PF1"	"low"	"mid"
"4879"	"Q96DA6"	"mid"	"mid"
"4880"	"P02786"	"low"	"mid"
"4881"	"O75954"	"low"	"low"
"4882"	"Q99614"	"high"	"high"
"4883"	"Q9Y5Z9"	"mid"	"low"
"4884"	"Q96A05"	"low"	"low"
"4885"	"O14607"	"high"	"high"
"4886"	"Q9NZR4"	"high"	"high"
"4887"	"Q9BV40"	"mid"	"mid"
"4888"	"A5D8V6"	"high"	"high"
"4889"	"Q8N9V3"	"low"	"low"
"4890"	"O00755"	"low"	"low"
"4891"	"Q8N2E2"	"mid"	"low"
"4892"	"P12018"	"mid"	"high"
"4893"	"P23025"	"high"	"mid"
"4894"	"Q96QU8"	"low"	"low"
"4895"	"Q9UBV4"	"low"	"low"
"4896"	"Q96P53"	"low"	"low"
"4897"	"O75083"	"low"	"low"
"4898"	"P07947"	"mid"	"mid"
"4899"	"Q8TAT8"	"mid"	"high"
"4900"	"A6NLC8"	"high"	"high"
"4901"	"Q16816"	"low"	"low"
"4902"	"Q92561"	"low"	"low"
"4903"	"P43115"	"mid"	"low"
"4904"	"Q5VZY2"	"low"	"low"
"4905"	"Q86V59"	"high"	"high"
"4906"	"Q9NRD5"	"mid"	"mid"
"4907"	"Q99541"	"mid"	"mid"
"4908"	"Q9NYY3"	"mid"	"mid"
"4909"	"Q9UHV8"	"low"	"low"
"4910"	"Q6S8J7"	"high"	"high"
"4911"	"Q9NZ81"	"high"	"high"
"4912"	"P49763"	"high"	"high"
"4913"	"Q96R06"	"high"	"high"
"4914"	"Q9Y5X0"	"mid"	"mid"
"4915"	"Q96PX8"	"mid"	"mid"
"4916"	"Q9BQ16"	"high"	"mid"
"4917"	"P48594"	"low"	"low"
"4918"	"Q9Y336"	"mid"	"mid"
"4919"	"Q8IUQ4"	"mid"	"low"
"4920"	"Q9BT81"	"high"	"high"
"4921"	"Q9NWH9"	"high"	"high"
"4922"	"P21815"	"high"	"high"
"4923"	"O14508"	"mid"	"mid"
"4924"	"O75830"	"low"	"low"
"4925"	"Q96BR1"	"mid"	"mid"
"4926"	"Q14190"	"high"	"high"
"4927"	"Q9P0V8"	"mid"	"mid"
"4928"	"A4D263"	"mid"	"high"
"4929"	"O14544"	"high"	"high"
"4930"	"A2VEC9"	"high"	"mid"
"4931"	"Q8WXA9"	"high"	"high"
"4932"	"P11831"	"high"	"high"
"4933"	"Q69YW2"	"mid"	"low"
"4934"	"Q8NFR3"	"low"	"low"
"4935"	"Q8N434"	"low"	"low"
"4936"	"P52823"	"high"	"mid"
"4937"	"Q9BXG8"	"mid"	"high"
"4938"	"Q8N300"	"mid"	"high"
"4939"	"Q15022"	"high"	"high"
"4940"	"O76061"	"high"	"high"
"4941"	"P84103"	"high"	"high"
"4942"	"Q07955"	"high"	"high"
"4943"	"B3KS81"	"high"	"high"
"4944"	"P55072"	"high"	"mid"
"4945"	"A0A5B9"	"low"	"low"
"4946"	"Q969D9"	"mid"	"low"
"4947"	"Q8NFU3"	"low"	"low"
"4948"	"Q53H54"	"low"	"mid"
"4949"	"P61077"	"low"	"low"
"4950"	"A0A0A6YYG2"	NA	NA
"4951"	"P55916"	"low"	"low"
"4952"	"P45974"	"mid"	"mid"
"4953"	"Q9BRA2"	"low"	"low"
"4954"	"P40200"	"mid"	"mid"
"4955"	"Q69YZ2"	"high"	"high"
"4956"	"P59543"	"mid"	"low"
"4957"	"Q9H061"	"low"	"low"
"4958"	"Q14C87"	"high"	"mid"
"4959"	"Q6NXT6"	"mid"	"mid"
"4960"	"P0DSN6"	NA	NA
"4961"	"Q9UFV1"	"mid"	"mid"
"4962"	"Q8IXB3"	"high"	"high"
"4963"	"Q9Y2I9"	"high"	"high"
"4964"	"Q9Y519"	"mid"	"mid"
"4965"	"Q9H2K8"	"high"	"high"
"4966"	"Q96DN5"	"mid"	"mid"
"4967"	"O43294"	"high"	"high"
"4968"	"P10827"	"high"	"high"
"4969"	"Q9BU02"	"low"	"mid"
"4970"	"Q9Y3D7"	"mid"	"mid"
"4971"	"P04053"	"mid"	"mid"
"4972"	"Q9BSI4"	"high"	"high"
"4973"	"O43435"	"high"	"high"
"4974"	"Q8NEW7"	"high"	"high"
"4975"	"Q6P5X7"	"mid"	"low"
"4976"	"Q96CG3"	"mid"	"mid"
"4977"	"A2RUT3"	"mid"	"mid"
"4978"	"Q9BXU2"	"high"	"mid"
"4979"	"P26368"	"high"	"high"
"4980"	"Q9UKW4"	"mid"	"mid"
"4981"	"P37288"	"high"	"mid"
"4982"	"Q5BJH7"	"mid"	"mid"
"4983"	"P17014"	"low"	"low"
"4984"	"Q8NA96"	"high"	"high"
"4985"	"Q9H6B1"	"high"	"high"
"4986"	"A6NP61"	"high"	"high"
"4987"	"Q8N2G6"	"mid"	"mid"
"4988"	"Q9HBT8"	"mid"	"mid"
"4989"	"Q6AW86"	"mid"	"high"
"4990"	"O60232"	"high"	"high"
"4991"	"Q96KM6"	"high"	"high"
"4992"	"B2RXF5"	"high"	"high"
"4993"	"Q49A33"	"low"	"mid"
"4994"	"P37275"	"high"	"high"
"4995"	"Q9ULD9"	"high"	"high"
"4996"	"Q8WZ26"	"low"	"low"
"4997"	"O15015"	"mid"	"high"
"4998"	"Q15697"	"high"	"high"
"4999"	"P51786"	"low"	"mid"
"5000"	"Q6FIF0"	"high"	"high"
"5001"	"Q8TF20"	"low"	"low"
"5002"	"Q9HCX3"	"mid"	"low"
"5003"	"Q13360"	"low"	"mid"
"5004"	"Q6ZT77"	"low"	"mid"
"5005"	"O75346"	"low"	"low"
"5006"	"Q86WZ6"	"mid"	"mid"
"5007"	"B4DX44"	"low"	"low"
"5008"	"P17010"	"mid"	"high"
"5009"	"P15622"	"low"	"mid"
"5010"	"Q9ULM2"	"mid"	"mid"
"5011"	"Q7Z3T8"	"high"	"high"
"5012"	"Q5EBM4"	"low"	"low"
"5013"	"Q96H40"	"low"	"mid"
"5014"	"Q6V9R5"	"mid"	"low"
"5015"	"Q6NX49"	"mid"	"mid"
"5016"	"P0C6A0"	"high"	"high"
"5017"	"O95218"	"high"	"high"
"5018"	"Q15031"	"low"	"low"
"5019"	"Q8N1K5"	"mid"	"mid"
"5020"	"Q86W42"	"low"	"low"
"5021"	"Q96MH6"	"low"	"low"
"5022"	"Q9NQ34"	"high"	"low"
"5023"	"Q9BXS4"	"mid"	"low"
"5024"	"A0A0J9YWP8"	NA	NA
"5025"	"Q13470"	"high"	"high"
"5026"	"P36941"	"high"	"high"
"5027"	"Q9BUZ4"	"low"	"low"
"5028"	"Q15035"	"mid"	"low"
"5029"	"O75509"	"high"	"high"
"5030"	"Q9UJV3"	"mid"	"mid"
"5031"	"Q9H808"	"high"	"high"
"5032"	"Q9H0C3"	"mid"	"mid"
"5033"	"Q5SV17"	"mid"	"low"
"5034"	"Q9UL52"	"low"	"low"
"5035"	"Q86UE8"	"high"	"high"
"5036"	"Q8NFQ8"	"high"	"high"
"5037"	"Q8N8V8"	"mid"	"mid"
"5038"	"Q68D42"	"low"	"mid"
"5039"	"A0A0A6YYD4"	NA	NA
"5040"	"Q8NER1"	"mid"	"mid"
"5041"	"O75631"	"mid"	"mid"
"5042"	"P41226"	"low"	"mid"
"5043"	"Q96QD9"	"high"	"high"
"5044"	"O14598"	"high"	"high"
"5045"	"Q6RSH7"	"high"	"mid"
"5046"	"P62760"	"low"	"low"
"5047"	"P46939"	"high"	"mid"
"5048"	"Q6ICG8"	"high"	"high"
"5049"	"Q6ZQT7"	"high"	"high"
"5050"	"Q5PR19"	"high"	"high"
"5051"	"Q96TA2"	"mid"	"mid"
"5052"	"Q96NJ1"	"mid"	"high"
"5053"	"Q03936"	"low"	"low"
"5054"	"Q6ZTK2"	"low"	"low"
"5055"	"P17038"	"low"	"low"
"5056"	"Q03938"	"low"	"low"
"5057"	"Q02386"	"mid"	"mid"
"5058"	"Q8IYN0"	"low"	"low"
"5059"	"P52746"	"high"	"high"
"5060"	"Q9P0L1"	"high"	"high"
"5061"	"Q8N7Q3"	"low"	"low"
"5062"	"O15231"	"high"	"high"
"5063"	"Q7Z7L7"	"low"	"low"
"5064"	"Q9UK12"	"low"	"low"
"5065"	"Q96H86"	"mid"	"high"
"5066"	"Q9P2Y4"	"mid"	"high"
"5067"	"Q9BV97"	"high"	"high"
"5068"	"Q9NV72"	"low"	"high"
"5069"	"Q9C0A1"	"high"	"high"
"5070"	"P51815"	"high"	"mid"
"5071"	"Q3MJ62"	"high"	"mid"
"5072"	"Q6ECI4"	"low"	"low"
"5073"	"Q5VIY5"	"low"	"mid"
"5074"	"Q96MM3"	"mid"	"mid"
"5075"	"Q6P9A3"	"low"	"mid"
"5076"	"Q8N5A5"	"high"	"high"
"5077"	"Q96N38"	"low"	"mid"
"5078"	"Q6NUS8"	"low"	"low"
"5079"	"A6NJT0"	"high"	"high"
"5080"	"Q96PU4"	"mid"	"mid"
"5081"	"O14795"	"high"	"mid"
"5082"	"P0DTE5"	NA	NA
"5083"	"Q8NDX2"	"mid"	"mid"
"5084"	"Q9BVJ6"	"high"	"high"
"5085"	"P0DP72"	"low"	"mid"
"5086"	"P47989"	"low"	"low"
"5087"	"P02774"	"low"	"low"
"5088"	"Q5T750"	"high"	"low"
"5089"	"A6NIX2"	"high"	"high"
"5090"	"A6NGB9"	"high"	"high"
"5091"	"Q9H0M0"	"high"	"high"
"5092"	"Q9HD64"	"mid"	"high"
"5093"	"Q9UKI3"	"low"	"low"
"5094"	"Q6RFH5"	"mid"	"mid"
"5095"	"Q9H1Z4"	"low"	"mid"
"5096"	"Q8NEX5"	"low"	"low"
"5097"	"O76024"	"mid"	"mid"
"5098"	"Q8IUB5"	"mid"	"low"
"5099"	"Q8NA23"	"low"	"low"
"5100"	"P0C879"	"high"	"high"
"5101"	"Q9BRP9"	"mid"	"high"
"5102"	"Q5BKY6"	"low"	"mid"
"5103"	"Q96DT7"	"high"	"high"
"5104"	"Q96K62"	"high"	"high"
"5105"	"Q13105"	"mid"	"high"
"5106"	"A8MVS1"	"low"	"low"
"5107"	"O95365"	"high"	"high"
"5108"	"Q15326"	"high"	"mid"
"5109"	"Q9BYJ9"	"high"	"high"
"5110"	"Q9Y4E5"	"high"	"mid"
"5111"	"Q96GC6"	"high"	"high"
"5112"	"Q8WV99"	"high"	"high"
"5113"	"A6NDX5"	"mid"	"mid"
"5114"	"Q494X3"	"low"	"low"
"5115"	"Q5BKZ1"	"high"	"high"
"5116"	"Q8N393"	"mid"	"mid"
"5117"	"O95405"	"high"	"high"
"5118"	"Q96MN9"	"high"	"high"
"5119"	"Q7L2K0"	"high"	"high"
"5120"	"Q96RS0"	"high"	"high"
"5121"	"Q9Y4C2"	"low"	"low"
"5122"	"Q9UBN6"	"high"	"high"
"5123"	"Q96RJ3"	"high"	"high"
"5124"	"Q2M3C6"	"high"	"high"
"5125"	"Q8TEL6"	"mid"	"mid"
"5126"	"Q7Z2T5"	"mid"	"mid"
"5127"	"Q9BVC6"	"mid"	"low"
"5128"	"Q9HAV5"	"high"	"mid"
"5129"	"Q9Y2S6"	"high"	"high"
"5130"	"Q9NS93"	"mid"	"low"
"5131"	"Q04725"	"high"	"high"
"5132"	"Q9BXR5"	"low"	"low"
"5133"	"A0A0B4J249"	"mid"	"low"
"5134"	"A0A087WV62"	NA	NA
"5135"	"A0A5A2"	NA	NA
"5136"	"A0A0B4J241"	"low"	"low"
"5137"	"Q15661"	"low"	"low"
"5138"	"A0A0A0MS01"	NA	NA
"5139"	"Q9Y2C9"	"low"	"low"
"5140"	"Q9H2G4"	"high"	"high"
"5141"	"Q2TAM9"	"mid"	"high"
"5142"	"O15050"	"mid"	"mid"
"5143"	"Q15029"	"low"	"mid"
"5144"	"Q9H9P5"	"high"	"high"
"5145"	"O00526"	"mid"	"low"
"5146"	"P01282"	"high"	"mid"
"5147"	"Q8TAG6"	"high"	"high"
"5148"	"P63027"	"high"	"high"
"5149"	"P58304"	"high"	"high"
"5150"	"Q6PCB0"	"mid"	"high"
"5151"	"Q9H267"	"low"	"low"
"5152"	"Q6AWC2"	"high"	"high"
"5153"	"Q6GPH4"	"mid"	"high"
"5154"	"Q9UL54"	"high"	"high"
"5155"	"H3BS89"	"mid"	"low"
"5156"	"Q8N5T2"	"low"	"low"
"5157"	"P36897"	"mid"	"low"
"5158"	"Q9BX59"	"mid"	"mid"
"5159"	"P42681"	"mid"	"mid"
"5160"	"Q15819"	"low"	"mid"
"5161"	"P0C7I0"	"high"	"high"
"5162"	"O75385"	"high"	"high"
"5163"	"Q3KQV9"	"low"	"mid"
"5164"	"O95551"	"mid"	"mid"
"5165"	"Q9P0L0"	"mid"	"high"
"5166"	"Q9ULK5"	"mid"	"mid"
"5167"	"Q8N0Z9"	"low"	"mid"
"5168"	"Q86Y07"	"high"	"mid"
"5169"	"P47992"	"high"	"high"
"5170"	"P61964"	"low"	"mid"
"5171"	"O95070"	"mid"	"mid"
"5172"	"Q9UK55"	"mid"	"mid"
"5173"	"Q7Z3I7"	"mid"	"mid"
"5174"	"P98168"	"high"	"high"
"5175"	"P08048"	"mid"	"mid"
"5176"	"P48039"	"mid"	"low"
"5177"	"Q9NYA4"	"high"	"high"
