uniprot_id	disopred3perc	iupredperc	abundance	uniprot_symbols	entrez_id	is_HI	oncogene	ps_high_conf	drlps_drivers	dr_all_phase_sep	drpls_clients
O60658	26.53	14.11	1.86	PDE8A	NA	NA	NA	NA	NA	1	1
O60662	3.79	1.81	0.649	KLHL41 KBTBD10 KRP1	NA	NA	NA	NA	NA	NA	NA
O60663	53.98	36.81	0.409	LMX1B	4010	1	NA	NA	NA	NA	NA
O60664	13.36	23.04	314	PLIN3 M6PRBP1 TIP47	NA	NA	NA	NA	NA	NA	NA
O60667	51.28	45.89	1.01	FCMR FAIM3 TOSO	NA	NA	NA	NA	NA	NA	NA
O60669	16.73	13.17	1.57	SLC16A7 MCT2	NA	NA	NA	NA	NA	NA	NA
O60671	6.38	0.7	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60673	62.61	40.12	0.262	REV3L POLZ REV3	NA	NA	NA	NA	NA	NA	NA
O60674	6.53	1.59	0.286	JAK2	3717	NA	1	NA	NA	NA	NA
O60675	32.05	42.3	1.69	MAFK	NA	NA	NA	NA	NA	NA	NA
O60676	18.3	0.7	1.25	CST8 CRES	NA	NA	NA	NA	NA	NA	NA
O60678	15.81	5.83	12.3	PRMT3 HRMT1L3	NA	NA	NA	NA	NA	NA	NA
O60682	66.01	66.01	0.126	MSC ABF1 BHLHA22	NA	NA	NA	NA	NA	NA	NA
O60683	6.44	3.06	0.178	PEX10 RNF69	NA	NA	NA	NA	NA	NA	NA
O60684	19.77	9.32	32	KPNA6 IPOA7	NA	NA	NA	NA	NA	1	1
O60687	5.59	6.45	6.25	SRPX2 SRPUL	27286	0	NA	NA	NA	NA	NA
O60688	3.36	0	0.067	YPEL1 FKSG3	NA	NA	NA	NA	NA	1	1
O60701	5.66	4.65	111	UGDH	NA	NA	NA	NA	NA	NA	NA
O60704	8.48	6.36	1.14	TPST2	NA	NA	NA	NA	NA	NA	NA
O60706	11.49	4.51	0.013	ABCC9 SUR2	NA	NA	NA	NA	NA	NA	NA
O60711	31.86	29.79	10.2	LPXN LDLP	NA	NA	NA	NA	NA	NA	NA
O60716	55.99	50.3	87.5	CTNND1 KIAA0384	NA	NA	NA	NA	NA	1	1
O60721	50.86	48.13	0.062	SLC24A1 KIAA0702 NCKX1	9187	0	NA	NA	NA	NA	NA
O60725	8.45	0	2.9	ICMT PCCMT	NA	NA	NA	NA	NA	NA	NA
O60729	32.93	16.86	0.387	CDC14B	NA	NA	NA	NA	NA	1	1
O60732	81.78	50.43	1.41	MAGEC1	NA	NA	NA	NA	NA	NA	NA
O60733	8.93	6.69	0.095	PLA2G6 PLPLA9	8398	0	NA	NA	NA	NA	NA
O60739	0.88	0	58.9	EIF1B	NA	NA	NA	NA	NA	1	1
O60741	41.79	37.19	0.048	HCN1 BCNG1	NA	NA	NA	NA	NA	NA	NA
O60749	31.21	27.16	96.8	SNX2 TRG9	NA	NA	NA	NA	NA	1	1
O60755	22.01	13.58	0	GALR3 GALNR3	NA	NA	NA	NA	NA	NA	NA
O60756	3.57	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60759	67.4	15.32	0.905	CYTIP PSCDBP	NA	NA	NA	NA	NA	NA	NA
O60760	0	0	1.32	HPGDS GSTS PGDS PTGDS2	NA	NA	NA	NA	NA	1	NA
O60762	9.23	5.76	63	DPM1	8813	0	NA	NA	NA	NA	NA
O60763	23.38	21.3	NA	NA	NA	NA	NA	NA	NA	1	1
O60765	10.74	16.36	0.094	ZNF354A EZNF HKL1 TCF17	NA	NA	NA	NA	NA	NA	NA
O60774	5.19	0.37	0.025	FMO6P FMO6	NA	NA	NA	NA	NA	NA	NA
O60779	17.3	1.4	0.347	SLC19A2 THT1 TRMA	NA	NA	NA	NA	NA	NA	NA
O60783	12.5	0	33.9	MRPS14	NA	NA	NA	NA	NA	NA	NA
O60784	49.39	49.39	29.1	TOM1	NA	NA	NA	NA	NA	NA	NA
O60806	58.48	35.26	0.044	TBX19 TPIT	NA	NA	NA	NA	NA	NA	NA
O60809	3.16	0.42	0.033	PRAMEF10	NA	NA	NA	NA	NA	NA	NA
O60810	0.62	0.2	0.004	PRAMEF4	NA	NA	NA	NA	NA	NA	NA
O60811	3.37	0.21	0.025	PRAMEF2	NA	NA	NA	NA	NA	NA	NA
O60812	64.84	58.7	NA	NA	NA	NA	NA	NA	NA	1	1
O60813	0.41	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60814	26.98	34.12	796	H2BC12 H2BFT HIRIP1 HIST1H2BK	NA	NA	NA	NA	NA	1	1
O60825	17.02	16.03	5.14	PFKFB2	NA	NA	NA	NA	NA	NA	NA
O60826	19.45	22	14.5	CCDC22 CXorf37 JM1	NA	NA	NA	NA	NA	1	1
O60828	56.98	81.5	66.7	PQBP1 NPW38 JM26	10084	1	NA	NA	NA	1	NA
O60829	52.94	100	7.85	PAGE4 GAGEC1 JM27	NA	NA	NA	NA	NA	NA	NA
O60830	15.11	13.95	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60831	3.37	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60832	28.79	21.01	115	DKC1 NOLA4	1736	1	NA	NA	NA	1	NA
O60840	37.37	22.91	0.047	CACNA1F CACNAF1	NA	NA	NA	NA	NA	NA	NA
O60841	49.42	54.67	105	EIF5B IF2 KIAA0741	NA	NA	NA	NA	NA	1	1
O60844	13.77	0	2.88	ZG16	NA	NA	NA	NA	NA	NA	NA
O60858	2.21	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60861	17.43	36.76	2.35	GAS7 KIAA0394	8522	NA	0	NA	NA	1	1
O60869	24.32	79.72	187	EDF1	NA	NA	NA	NA	NA	1	1
O60870	11.7	25.44	2.3	KIN BTCD KIN17	NA	NA	NA	NA	NA	1	1
O60879	31.78	30.33	6.49	DIAPH2 DIA	NA	NA	NA	NA	NA	NA	NA
O60880	11.71	4.68	17.8	SH2D1A DSHP SAP	4068	1	NA	NA	NA	NA	NA
O60882	12.21	3.31	0.217	MMP20	NA	NA	NA	NA	NA	NA	NA
O60883	28.89	14.55	0.293	GPR37L1 ETBRLP2	NA	NA	NA	NA	NA	NA	NA
O60884	17.23	28.64	117	DNAJA2 CPR3 HIRIP4	NA	NA	NA	NA	NA	1	1
O60885	78.63	84.72	15.5	BRD4 HUNK1	23476	NA	1	1	1	1	NA
O60888	39.1	7.82	138	CUTA ACHAP C6orf82	NA	NA	NA	NA	NA	NA	NA
O60890	29.42	32.66	0.611	OPHN1	4983	1	NA	NA	NA	NA	NA
O60894	12.16	0	0.017	RAMP1	NA	NA	NA	NA	NA	NA	NA
O60895	20	12.57	0.226	RAMP2	NA	NA	NA	NA	NA	NA	NA
O60896	9.45	0	1.06	RAMP3	NA	NA	NA	NA	NA	NA	NA
O60902	77.64	47.12	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60906	11.11	5.2	0.432	SMPD2	NA	NA	NA	NA	NA	NA	NA
O60907	8.14	15.25	3.29	TBL1X TBL1	NA	NA	NA	NA	NA	NA	NA
O60909	19.89	20.96	0.041	B4GALT2	NA	NA	NA	NA	NA	NA	NA
O60911	5.38	0.29	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60921	3.57	4.64	1.82	HUS1	NA	NA	NA	NA	NA	NA	NA
O60925	3.27	5.73	97.6	PFDN1 PFD1	NA	NA	NA	NA	NA	NA	NA
O60927	80.15	84.92	53.8	PPP1R11 HCGV TCTE5	NA	NA	NA	NA	NA	1	1
O60928	9.44	1.66	0.193	KCNJ13	NA	NA	NA	NA	NA	NA	NA
O60930	27.27	30.41	0.69	RNASEH1 RNH1	NA	NA	NA	NA	NA	1	1
O60931	7.9	0	0.074	CTNS	1497	0	NA	NA	NA	NA	NA
O60934	48.4	43.36	12.1	NBN NBS NBS1 P95	4683	1	0	NA	NA	1	1
O60936	54.8	76.92	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60938	3.97	1.13	1.79	KERA SLRR2B	11081	0	NA	NA	NA	NA	NA
O60939	26.04	16.74	0.896	SCN2B UNQ326/PRO386	NA	NA	NA	NA	NA	NA	NA
O60941	33.01	45.29	1.67	DTNB	NA	NA	NA	NA	NA	NA	NA
O60942	8.2	11.55	12	RNGTT CAP1A	NA	NA	NA	NA	NA	NA	NA
O71037	9.15	11.01	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75015	8.15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75019	11.45	8.99	0.507	LILRA1 LIR6	NA	NA	NA	NA	NA	NA	NA
O75022	25.99	37.87	1.1	LILRB3 ILT5 LIR3	NA	NA	NA	NA	NA	NA	NA
O75023	21.69	24.06	1.5	LILRB5 LIR8	NA	NA	NA	NA	NA	NA	NA
O75027	21.27	6.11	16.8	ABCB7 ABC7	NA	NA	NA	NA	NA	NA	NA
O75030	71.29	56.46	1.32	MITF BHLHE32	4286	1	1	NA	NA	NA	NA
O75031	4.19	3.29	0.115	HSF2BP MEILB2	NA	NA	NA	NA	NA	NA	NA
O75037	53.2	28.52	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75038	52.96	44.49	0.181	PLCH2 KIAA0450 PLCL4	NA	NA	NA	NA	NA	NA	NA
O75044	49.67	35.57	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75051	20.11	0.95	0.332	PLXNA2 KIAA0463 OCT PLXN2 UNQ209/PRO235	NA	NA	NA	NA	NA	1	1
O75052	51.58	38.33	2.72	NOS1AP CAPON KIAA0464	NA	NA	NA	NA	NA	NA	NA
O75054	14.23	7.95	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75056	84.61	79.63	0.69	SDC3 KIAA0468	NA	NA	NA	NA	NA	NA	NA
O75061	59.14	45.23	NA	NA	9829	0	NA	NA	NA	1	1
O75063	6.11	0	1.95	FAM20B KIAA0475	NA	NA	NA	NA	NA	NA	NA
O75064	31.08	27.13	2.7	DENND4B KIAA0476	NA	NA	NA	NA	NA	NA	NA
O75069	62.62	60.08	0.939	TMCC2 KIAA0481 hucep-11	NA	NA	NA	NA	NA	NA	NA
O75071	29.09	33.73	1.77	EFCAB14 KIAA0494	NA	NA	NA	NA	NA	NA	NA
O75072	5.2	0	0.189	FKTN FCMD	NA	NA	NA	NA	NA	NA	NA
O75074	36.1	23.11	0.616	LRP3	NA	NA	NA	NA	NA	NA	NA
O75077	18.62	12.74	0.209	ADAM23 MDC3	NA	NA	NA	NA	NA	1	1
O75078	16.64	14.56	0.599	ADAM11 MDC	NA	NA	NA	NA	NA	NA	NA
O75081	69.98	65.54	0.849	CBFA2T3 MTG16 MTGR2 ZMYND4	863	NA	0	NA	NA	NA	NA
O75083	0.16	1.48	565	WDR1	NA	NA	NA	NA	NA	1	1
O75084	16.55	2.26	0.645	FZD7	NA	NA	NA	NA	NA	NA	NA
O75093	3.45	0.19	0.204	SLIT1 KIAA0813 MEGF4 SLIL1	NA	NA	NA	NA	NA	NA	NA
O75094	5.9	0.19	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75095	6.35	2.98	0.156	MEGF6 EGFL3 KIAA0815	NA	NA	NA	NA	NA	NA	NA
O75096	13.75	6.29	0.011	LRP4 KIAA0816 LRP10 MEGF7	NA	NA	NA	NA	NA	NA	NA
O75106	6.48	7.67	3.26	AOC2	NA	NA	NA	NA	NA	NA	NA
O75110	7.83	2.67	0.909	ATP9A ATPIIA KIAA0611	NA	NA	NA	NA	NA	NA	NA
O75112	62.03	65.88	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75113	54.35	33.81	1.46	N4BP1 KIAA0615	NA	NA	NA	NA	NA	NA	NA
O75116	53.81	35.44	34.1	ROCK2 KIAA0619	NA	NA	NA	NA	NA	1	1
O75121	25.91	35.94	0.113	MFAP3L KIAA0626 HSD-39 HSD39	NA	NA	NA	NA	NA	NA	NA
O75122	47.29	41.57	NA	NA	NA	NA	NA	NA	NA	1	1
O75123	3.35	17.53	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75127	12.14	22.57	NA	NA	NA	NA	NA	NA	NA	1	1
O75128	86.28	81.68	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75129	18.89	14.41	3.2	ASTN2 KIAA0634	23245	1	NA	NA	NA	NA	NA
O75131	4.65	2.04	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75132	40.13	19.04	0.083	ZBED4 KIAA0637	NA	NA	NA	NA	NA	NA	NA
O75140	42.04	25.76	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75143	53.38	29.59	1.06	ATG13 KIAA0652	NA	NA	NA	NA	NA	NA	NA
O75144	15.23	4.63	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75145	67	56.61	1.59	PPFIA3 KIAA0654	NA	NA	NA	NA	NA	1	1
O75146	29.3	26.96	7.4	HIP1R HIP12 KIAA0655	NA	NA	NA	NA	NA	1	1
O75147	5.69	11.97	0.65	OBSL1 KIAA0657	23363	0	NA	NA	NA	NA	NA
O75150	38.36	46.45	20.2	RNF40 BRE1B KIAA0661	NA	NA	NA	NA	NA	1	1
O75151	58.94	56.56	3.16	PHF2 CENP-35 KIAA0662	5253	1	NA	NA	NA	NA	NA
O75152	88.88	73.33	NA	NA	NA	NA	NA	NA	NA	1	1
O75153	28.03	16.42	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75154	58.33	61.24	1.39	RAB11FIP3 ARFO1 KIAA0665	NA	NA	NA	NA	NA	1	1
O75155	7.68	4.53	1.7	CAND2 KIAA0667 TIP120B	NA	NA	NA	NA	NA	1	1
O75157	95.89	81.53	2.89	TSC22D2 KIAA0669 TILZ4	NA	NA	NA	NA	NA	NA	NA
O75159	58.76	41.97	0.165	SOCS5 CIS6 CISH5 CISH6 KIAA0671	NA	NA	NA	NA	NA	NA	NA
O75161	25.38	19.91	0.212	NPHP4 KIAA0673	261734	0	NA	NA	NA	NA	NA
O75164	39.19	24.9	0.724	KDM4A JHDM3A JMJD2 JMJD2A KIAA0677	NA	NA	NA	NA	NA	NA	NA
O75165	12.97	1.64	18.3	DNAJC13 KIAA0678 RME8	NA	NA	NA	NA	NA	1	1
O75167	72.39	88.32	1.86	PHACTR2 C6orf56 KIAA0680	NA	NA	NA	NA	NA	NA	NA
O75170	50.72	35.92	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75173	8.24	10.39	0.87	ADAMTS4 KIAA0688 UNQ769/PRO1563	NA	NA	NA	NA	NA	NA	NA
O75175	56.97	59.89	NA	NA	4849	0	0	NA	NA	1	1
O75177	93.43	87.37	1.4	SS18L1 CREST KIAA0693	26039	NA	0	NA	NA	NA	NA
O75179	50.17	54.93	7.7	ANKRD17 GTAR KIAA0697	NA	NA	NA	NA	NA	1	1
O75182	33.47	19.01	0.761	SIN3B KIAA0700	NA	NA	NA	NA	NA	NA	NA
O75185	9.09	1.9	NA	NA	9914	0	NA	NA	NA	NA	NA
O75190	49.07	46.01	17.1	DNAJB6 HSJ2 MRJ MSJ1	10049	0	NA	NA	NA	1	1
O75191	1.3	2.05	1.94	XYLB	NA	NA	NA	NA	NA	NA	NA
O75192	8.09	0	0.149	PEX11A PEX11	NA	NA	NA	NA	NA	NA	NA
O75197	11.76	4.64	0.096	LRP5 LR3 LRP7	NA	NA	NA	NA	NA	NA	NA
O75200	27.53	51.2	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75204	18.9	11.34	0.15	TMEM127	55654	1	0	NA	NA	NA	NA
O75208	35.22	22.32	21.9	COQ9 C16orf49 HSPC326 PSEC0129	NA	NA	NA	NA	NA	NA	NA
O75223	8.51	4.25	53.6	GGCT C7orf24 CRF21	NA	NA	NA	NA	NA	NA	NA
O75251	24.41	11.73	84.3	NDUFS7	374291	0	NA	NA	NA	NA	NA
O75264	49.23	49.23	0.913	SMIM24 C19orf77 HSPC323	NA	NA	NA	NA	NA	NA	NA
O75290	7.17	6.86	0.066	ZNF780A	NA	NA	NA	NA	NA	NA	NA
O75293	9.37	1.87	0.053	GADD45B MYD118	NA	NA	NA	NA	NA	NA	NA
O75298	65.13	47.7	4.28	RTN2 NSPL1	NA	NA	NA	NA	NA	NA	NA
O75306	6.47	4.53	81.5	NDUFS2	NA	NA	NA	NA	NA	1	1
O75309	2.53	23.03	0.424	CDH16 UNQ695/PRO1340	NA	NA	NA	NA	NA	NA	NA
O75310	7.93	0	0.352	UGT2B11	NA	NA	NA	NA	NA	NA	NA
O75311	19.39	2.8	0.063	GLRA3	NA	NA	NA	NA	NA	NA	NA
O75312	12.63	42.7	45.3	ZPR1 ZNF259	NA	NA	NA	NA	NA	NA	NA
O75317	12.97	7.83	0.185	USP12 UBH1 USP12L1	NA	NA	NA	NA	NA	NA	NA
O75319	40.31	30.5	0.925	DUSP11 PIR1	NA	NA	NA	NA	NA	1	1
O75323	15.38	0.69	83	NIPSNAP2 GBAS	NA	NA	NA	NA	NA	1	1
O75324	70.45	11.36	0.114	SNN	NA	NA	NA	NA	NA	NA	NA
O75325	8.13	4.2	0.131	LRRN2 GAC1 LRRN5 UNQ256/PRO293	NA	NA	NA	NA	NA	NA	NA
O75326	12.46	13.06	46.4	SEMA7A CD108 SEMAL	NA	NA	NA	NA	NA	NA	NA
O75330	15.46	30.66	1.99	HMMR IHABP RHAMM	NA	NA	NA	NA	NA	1	1
O75333	41.29	29.87	0.117	TBX10 TBX7	NA	NA	NA	NA	NA	NA	NA
O75334	67.3	57.59	0.719	PPFIA2	NA	NA	NA	NA	NA	1	1
O75335	65.31	55.44	0.374	PPFIA4 KIAA0897	NA	NA	NA	NA	NA	1	1
O75339	14.35	9.03	4.96	CILP UNQ602/PRO1188	NA	NA	NA	NA	NA	NA	NA
O75340	10.99	4.18	221	PDCD6 ALG2	NA	NA	NA	NA	NA	1	1
O75342	0	0.14	0.914	ALOX12B	NA	NA	NA	NA	NA	NA	NA
O75343	9.56	8.42	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75344	9.78	1.52	0.066	FKBP6 FKBP36	NA	NA	NA	NA	NA	NA	NA
O75346	0.2	3.2	0.095	ZNF253 BMZF1 ZNF411	NA	NA	NA	NA	NA	NA	NA
O75347	2.77	12.03	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75348	2.54	35.59	90.8	ATP6V1G1 ATP6G ATP6G1 ATP6J	NA	NA	NA	NA	NA	1	1
O75351	10.36	25.45	60.1	VPS4B SKD1 VPS42 MIG1	NA	NA	NA	NA	NA	NA	NA
O75352	5.26	1.21	24.4	MPDU1	NA	NA	NA	NA	NA	NA	NA
O75354	20.24	2.89	0.302	ENTPD6 CD39L2 IL6ST2	NA	NA	NA	NA	NA	NA	NA
O75355	14.93	0.37	0.058	ENTPD3 CD39L3	NA	NA	NA	NA	NA	NA	NA
O75356	8.87	0	2.83	ENTPD5 CD39L4 PCPH	NA	NA	NA	NA	NA	NA	NA
O75360	71.68	64.15	0.001	PROP1	5626	0	NA	NA	NA	NA	NA
O75362	42.17	57.63	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75363	99.48	99.48	4.78	BCAS1 AIBC1 NABC1	NA	NA	NA	NA	NA	1	1
O75364	82.78	35.09	0.551	PITX3 PTX3	5309	0	NA	NA	NA	NA	NA
O75365	3.46	0	1.23	PTP4A3 PRL3	NA	NA	NA	NA	NA	NA	NA
O75366	5	5.49	1.88	AVIL	NA	NA	NA	NA	NA	1	1
O75367	21.5	25.26	303	MACROH2A1 H2AFY	NA	NA	NA	NA	NA	1	1
O75368	9.64	32.45	254	SH3BGRL	NA	NA	NA	NA	NA	NA	NA
O75369	5.38	19.02	126	FLNB FLN1L FLN3 TABP TAP	2317	0	NA	NA	NA	1	NA
O75373	0.18	0.55	0.045	ZNF737 ZNF102	NA	NA	NA	NA	NA	NA	NA
O75376	90.04	87.82	4.95	NCOR1 KIAA1047	9611	NA	0	NA	NA	NA	NA
O75379	8.51	31.2	8.26	VAMP4	NA	NA	NA	NA	NA	NA	NA
O75380	25	2.41	51.7	NDUFS6	4726	0	NA	NA	NA	1	1
O75381	50.66	57.82	32.5	PEX14	5195	0	NA	NA	NA	NA	NA
O75382	5.24	22.04	NA	NA	NA	NA	NA	NA	NA	1	1
O75385	55.9	51.9	0.871	ULK1 KIAA0722	NA	NA	NA	NA	NA	NA	NA
O75386	43.89	39.36	0.359	TULP3 TUBL3	NA	NA	NA	NA	NA	NA	NA
O75387	17.88	4.11	1.11	SLC43A1 LAT3 PB39 POV1	NA	NA	NA	NA	NA	NA	NA
O75388	13.76	0.84	0	GPR32	NA	NA	NA	NA	NA	NA	NA
O75390	6.22	0.21	449	CS	NA	NA	NA	NA	NA	1	1
O75391	11.45	52.42	22.1	SPAG7	NA	NA	NA	NA	NA	NA	NA
O75394	3.07	0	5.67	MRPL33 C2orf1	NA	NA	NA	NA	NA	NA	NA
O75396	7.44	3.25	NA	NA	NA	NA	NA	NA	NA	1	1
O75398	65.13	36.1	0.939	DEAF1 SPN ZMYND5	NA	NA	NA	NA	NA	NA	NA
O75400	56.53	59.24	47.1	PRPF40A FBP11 FLAF1 FNBP3 HIP10 HYPA HSPC225	NA	NA	NA	NA	NA	NA	NA
O75409	19.65	83.76	0.187	H2AP CXorf27 HYPM	NA	NA	NA	NA	NA	NA	NA
O75410	74.9	62.36	8.09	TACC1 KIAA1103	NA	NA	NA	NA	NA	1	1
O75414	5.91	3.22	3.03	NME6	NA	NA	NA	NA	NA	NA	NA
O75417	47.52	19.3	0.011	POLQ POLH	10721	NA	1	NA	NA	NA	NA
O75419	8.3	8.3	1.14	CDC45 CDC45L CDC45L2 UNQ374/PRO710	NA	NA	NA	NA	NA	NA	NA
O75420	80.57	70.62	2.03	GIGYF1 CDS2 PERQ1 PP3360	NA	NA	NA	NA	NA	1	1
O75425	28.08	24.68	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75426	11.37	5.86	0.036	FBXO24 FBX24	NA	NA	NA	NA	NA	NA	NA
O75427	44.94	44.94	3.72	LRCH4 LRN LRRN1 LRRN4	NA	NA	NA	NA	NA	NA	NA
O75431	4.18	0	62.3	MTX2	NA	NA	NA	NA	NA	1	1
O75436	9.48	7.64	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75437	5.61	1.36	0.064	ZNF254 BMZF5 ZNF539 ZNF91L	NA	NA	NA	NA	NA	NA	NA
O75438	1.72	0	5.12	NDUFB1	NA	NA	NA	NA	NA	NA	NA
O75439	9.61	0.2	105	PMPCB MPPB	NA	NA	NA	NA	NA	1	1
O75443	12.29	0.04	NA	NA	7007	0	NA	NA	NA	NA	NA
O75444	66.75	58.44	0.064	MAF	4094	NA	1	NA	NA	NA	NA
O75445	28.41	6.2	0.045	USH2A	7399	0	NA	NA	NA	NA	NA
O75446	42.72	34.09	12.3	SAP30	NA	NA	NA	NA	NA	NA	NA
O75448	11.93	3.64	3.32	MED24 ARC100 CRSP4 DRIP100 KIAA0130 THRAP4 TRAP100	NA	NA	NA	NA	NA	NA	NA
O75449	22.19	25.86	NA	NA	NA	NA	NA	NA	NA	1	1
O75452	6.62	0	2.83	RDH16 RODH4 SDR9C8	NA	NA	NA	NA	NA	NA	NA
O75459	60.27	93.15	13	PAGE1 GAGE9 GAGEB1	NA	NA	NA	NA	NA	NA	NA
O75460	18.11	16.58	0.232	ERN1 IRE1	NA	NA	NA	NA	NA	NA	NA
O75461	36.29	26.69	0.952	E2F6	NA	NA	NA	NA	NA	NA	NA
O75462	12.08	18.72	0.258	CRLF1 UNQ288/PRO327	NA	NA	NA	NA	NA	NA	NA
O75467	16.45	40.68	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75469	33.17	6.91	0.19	NR1I2 PXR	NA	NA	NA	NA	NA	NA	NA
O75473	9.26	0	0.824	LGR5 GPR49 GPR67	NA	NA	NA	NA	NA	NA	NA
O75474	54.07	72.1	0.629	FRAT2	NA	NA	NA	NA	NA	NA	NA
O75475	64.52	79.81	176	PSIP1 DFS70 LEDGF PSIP2	11168	NA	1	NA	NA	NA	NA
O75477	15.6	6.93	NA	NA	NA	NA	NA	NA	NA	1	1
O75478	15.57	9.02	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75486	20.5	9.46	0.43	SUPT3H SPT3	NA	NA	NA	NA	NA	NA	NA
O75487	19.06	12.05	4.19	GPC4 UNQ474/PRO937	NA	NA	NA	NA	NA	NA	NA
O75489	20.45	6.81	123	NDUFS3	NA	NA	NA	NA	NA	1	1
O75493	11.89	11.28	0.038	CA11 CARP2 UNQ211/PRO237	NA	NA	NA	NA	NA	NA	NA
O75494	67.17	67.93	56.2	SRSF10 FUSIP1 FUSIP2 SFRS13A TASR	NA	NA	NA	NA	NA	1	1
O75496	47.84	81.81	10.7	GMNN	NA	NA	NA	NA	NA	1	1
O75503	8.1	3.91	18.1	CLN5	NA	NA	NA	NA	NA	NA	NA
O75506	23.68	72.36	25.1	HSBP1 HSF1BP	NA	NA	NA	NA	NA	NA	NA
O75508	13.04	0	7.16	CLDN11 OSP OTM	NA	NA	NA	NA	NA	NA	NA
O75509	38.16	31.75	0.219	TNFRSF21 DR6 UNQ437/PRO868	NA	NA	NA	NA	NA	NA	NA
O75521	16.75	7.86	34.6	ECI2 DRS1 HCA88 PECI	NA	NA	NA	NA	NA	1	1
O75525	50.57	55.78	5.28	KHDRBS3 SALP SLM2	NA	NA	NA	NA	NA	1	1
O75526	78.31	87.75	13.5	RBMXL2 HNRNPGT	NA	NA	NA	NA	NA	NA	NA
O75528	39.12	71.52	2.5	TADA3 ADA3 TADA3L	NA	NA	NA	NA	NA	1	1
O75529	11.37	4.58	1.06	TAF5L PAF65B	NA	NA	NA	NA	NA	NA	NA
O75530	12.01	15.87	12.6	EED	NA	NA	NA	NA	NA	1	1
O75531	1.12	3.37	693	BANF1 BAF BCRG1	NA	NA	NA	NA	NA	1	1
O75533	29.6	32.28	152	SF3B1 SAP155	23451	NA	1	NA	NA	1	1
O75534	17.91	11.65	NA	NA	NA	NA	NA	NA	NA	1	NA
O75541	38.1	61.4	0.225	ZNF821	NA	NA	NA	NA	NA	NA	NA
O75553	71.59	51.36	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75554	43.88	71.27	1.78	WBP4 FBP21 FNBP21	NA	NA	NA	NA	NA	NA	NA
O75556	9.47	0	1.68	SCGB2A1 LIPHC MGB2 UGB3	NA	NA	NA	NA	NA	NA	NA
O75558	8.71	7.31	70	STX11	8676	0	NA	NA	NA	NA	NA
O75563	33.7	30.91	34.8	SKAP2 PRAP RA70 SAPS SCAP2 SKAP55R	NA	NA	NA	NA	NA	NA	NA
O75564	16.54	16.72	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75569	18.53	18.53	63.6	PRKRA PACT RAX HSD-14 HSD14	NA	NA	NA	NA	NA	1	NA
O75570	3.14	3.37	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75575	16.21	41.89	2.45	CRCP	NA	NA	NA	NA	NA	NA	NA
O75578	6.16	5.99	0.259	ITGA10 UNQ468/PRO827	NA	NA	NA	NA	NA	NA	NA
O75581	9.98	8.92	0.117	LRP6	NA	NA	NA	NA	NA	NA	NA
O75582	14.21	13.71	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75586	31.7	26.82	NA	NA	NA	NA	NA	NA	NA	1	NA
O75592	46.2	19.22	NA	NA	NA	NA	NA	NA	NA	1	1
O75593	58.63	46.3	0.003	FOXH1 FAST1 FAST2	NA	NA	NA	NA	NA	1	1
O75594	11.22	0	24.7	PGLYRP1 PGLYRP PGRP TNFSF3L SBBI68 UNQ639/PRO1269	NA	NA	NA	NA	NA	NA	NA
O75596	16.24	6.09	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75600	5.01	0	2.21	GCAT KBL	NA	NA	NA	NA	NA	NA	NA
