symbol	abundance	protein_size
1080	REX3	2.13	404
1081	NAS2	8.75	220
1082	FYV8	31.3	817
1083	YER079W	22	210
1084	AIM23	39.8	356
1085	MPS3	48.9	682
1086	YOL166C	1.07	112
1087	YGR219W	2.54	113
1088	ATG22	1.35	528
1089	MAF1	22	395
1090	RPL8B	3508	256
1091	CTF3	4.01	733
1092	SWC3	12.5	625
1093	YDR344C	2.09	147
1094	EAR1	10.5	550
1095	DMA1	24.6	416
1096	TOM70	556	617
1097	UBC5	41.3	148
1098	GCN5	24.3	439
1099	RAD53	50.8	821
1100	PAU2	1.12	120
1101	TOM6	10.8	61
1102	YFL015W-A	0.526	105
1103	DOS2	56.7	310
1104	MRP13	145	339
1105	ASP3-3	1.38	362
1106	YPL109C	18.3	657
1107	YJL120W	1.26	107
1108	SUB2	777	446
1109	YDR327W	0.203	108
1110	YKL223W	0.023	110
1111	URH1	11.3	340
1112	PRM6	1.26	352
1113	GOS1	6.38	223
1114	BSP1	10.5	576
1115	CYC1	129	109
1116	YHL002C-A	0.088	162
1117	GUD1	3.83	489
1118	GND2	39.6	492
1119	ATX2	1.4	313
1120	RAT1	31.6	1006
1121	DSC3	3.86	292
1122	YJL007C	1.55	104
1123	TPP1	1.62	238
1124	RPA14	57.2	137
1125	VAC14	98.6	880
1126	YNL140C	12.6	189
1127	SRF1	166	437
1128	RPL30	1537	105
1129	ZRC1	107	442
1130	SEC3	16.1	1336
1131	YOR263C	1.46	135
1132	SGF29	26.3	259
1133	NTH2	20.3	780
1134	MMS22	0.634	1454
1135	MID2	71.9	376
1136	YRA2	25.3	203
1137	BDP1	8.93	594
1138	YML082W	33.3	649
1139	YLR444C	1.51	100
1140	MET31	8.81	177
1141	YCR045W-A	0.214	116
1142	UGA4	1.52	571
1143	YDR210C-C	13.8	440
1144	BUD6	33.1	788
1145	YBL077W	0.152	143
1146	CLN1	4.25	546
1147	ARG5,6	281	863
1148	ATP1	770	545
1149	GSY2	169	705
1150	YMR307C-A	0.077	64
1151	CAT5	1.92	233
1152	PCK1	173	549
1153	DOG2	30.3	246
1154	PHM6	0.465	104
1155	SNQ2	55	1501
1156	THI12	1.56	340
1157	YKL097C	1.75	136
1158	YGR026W	92.3	278
1159	PBP2	13.9	413
1160	YGL159W	12.9	370
1161	RRN7	6.68	514
1162	YOR282W	1.38	106
1163	YMR324C	1.46	80
1164	MSN2	11.9	704
1165	UTP20	41	2493
1166	YKL102C	2.92	101
1167	YFL032W	1.46	106
1168	BXI1	1.68	297
1169	MER1	1.29	270
1170	USV1	1.59	391
1171	INP1	6.59	420
1172	YPL088W	6.38	342
1173	YDR541C	0.267	344
1174	SDS23	178	527
1175	SGM1	14.4	707
1176	ADE3	853	946
1177	TMN3	13.9	706
1178	CMK1	21.7	446
1179	YKL177W	1.49	112
1180	MSK1	24.9	576
1181	PSY3	8.02	242
1182	YER190C-A	0.508	191
1183	PSF3	16.8	194
1184	RPC11	70.5	110
1185	TOM22	90.1	152
1186	SST2	94.9	698
1187	SWF1	1.32	336
1188	GPG1	1.18	126
1189	YOL014W	0.182	124
1190	YNL144C	1.43	740
1191	YAR075W	113	157
1192	ARF3	271	183
1193	MNT3	17.1	630
1194	THO2	30	1597
1195	YGR027W-A	16.4	440
1196	ENP2	37.2	707
1197	YER066C-A	1.37	166
1198	SNF7	70.4	240
1199	TPD3	399	635
1200	YJR018W	1.48	120
1201	OR26.19	1.32	111
1202	DIB1	1.2	143
1203	STE11	11.5	717
1204	YJR012C	5.28	207
1205	BCH1	65.9	724
1206	RPS21A	821	87
1207	YGR051C	1.32	107
1208	DAS2	46.7	232
1209	CRT10	2.11	957
1210	NGR1	30.8	672
1211	BFR1	716	470
1212	ATG19	10.5	415
1213	MPM1	38.8	252
1214	ADE13	237	482
1215	YPR096C	1.11	100
1216	RCN1	5.7	211
1217	YIL012W	1.4	113
1218	LCL2	20	131
1219	SFA1	218	386
1220	RSC1	6.21	928
1221	NUP159	174	1460
1222	URK1	13	501
1223	CIK1	2.8	594
1224	CYC3	46.2	269
1225	PMT6	1.76	759
1226	SMM1	42.5	384
1227	YMR226C	272	267
1228	YPT10	14.5	199
1229	YLL047W	1.47	127
1230	POT1	7.78	417
1231	RPC31	6.04	251
1232	ASI1	23.4	624
1233	YAR023C	2.3	179
1234	SRS2	39	1174
1235	YNR003W-A	0.022	32
1236	MCP2	19.6	569
1237	YAK1	7.73	807
1238	AIM20	4.81	204
1239	OPI7	1.56	144
1240	HXT6	274	570
1241	MOH1	1.51	138
1242	LEU3	3.08	886
1243	YMR007W	12.9	126
1244	GZF3	5.08	551
1245	SEC27	1035	889
1246	NUP85	91.1	744
1247	APC4	12	652
1248	YHR202W	3.92	602
1249	TIF11	433	153
1250	YLR217W	1.27	107
1251	MIG1	15.4	504
1252	MRE11	5.17	692
1253	YLR281C	2.9	155
1254	SNC2	32.9	115
1255	NUP116	49.5	1113
1256	DUG2	39	878
1257	PAU21	1.55	164
1258	YNL165W	4.56	406
1259	REX2	55	269
1260	XDJ1	65	459
1261	PRP18	1.73	251
1262	YPP1	30.7	817
1263	IQG1	3.31	1495
1264	RAD59	6.07	238
1265	YMR135W-A	1.43	177
1266	YAP3	20.6	330
1267	SPP41	2.79	1435
1268	NBA1	31	501
1269	UPS1	13.1	175
1270	YLR428C	1.53	114
1271	CDC27	12.1	758
1272	PEX4	2.9	183
1273	BCD1	24.9	366
1274	DIT1	1.13	536
1275	DIP5	160	608
1276	SPG1	2.04	95
1277	CYS4	1390	507
1278	ADE17	1325	592
1279	SYG1	23.9	902
1280	YGR137W	1.38	124
1281	RAX2	41.2	1220
1282	CST6	32.1	587
1283	NUP57	136	541
1284	COT1	32.4	439
1285	LTE1	7.8	1435
1286	YGR109W-B	0.407	1547
1287	MCK1	80	375
1288	SPO7	7.96	259
1289	MNN9	50.9	395
1290	OAZ1	1.59	292
1291	RPL16B	1894	198
1292	NIP100	3.2	868
1293	APE2	181	952
1294	YOR111W	24.5	232
1295	FET4	13.4	552
1296	YLR122C	1.52	125
1297	GCV2	240	1034
1298	UBP16	5.32	499
1299	UTR1	48.6	530
1300	RPN7	537	429
1301	PIH1	29.4	344
1302	YBR131C-A	0.943	29
1303	YMD8	18.8	442
1304	ALO1	206	526
1305	MSC3	22.2	728
1306	MSI1	4.68	422
1307	LSM3	121	89
1308	SLC1	175	303
1309	SPO13	1.7	291
1310	YNL203C	1.31	203
1311	YDR034C-D	2.11	1770
1312	YOR238W	21.1	303
1313	IMP1	1.73	190
1314	GAR1	1028	205
1315	CFT2	37.2	859
1316	YPR123C	1.54	144
1317	MET5	131	1442
1318	SCS22	2.45	175
1319	LYS14	6.2	790
1320	SPB4	54.8	606
1321	YNL028W	1.28	105
1322	PRI2	5.11	528
1323	LSG1	195	640
1324	YDR415C	2.15	374
1325	MLH3	1.48	715
1326	LEU4	307	619
1327	ENT2	37.7	613
1328	VPS15	5.17	1454
1329	PTH1	4.23	190
1330	AFG2	32.5	780
1331	DSK2	78.9	373
1332	EAP1	111	632
1333	YMR315W	213	349
1334	PSY1	1.67	127
1335	MEU1	126	337
1336	EMP46	3.06	444
1337	RPS20	2336	121
1338	SPF1	231	1215
1339	YPL025C	1.8	185
1340	COA4	16.6	150
1341	MET12	23.3	657
1342	YPR059C	2.13	128
1343	MRP49	30.3	137
1344	AUA1	1.26	94
1345	FAP1	6.82	965
1346	YGL114W	1.54	725
1347	YMR075C-A	0.214	121
1348	TEL2	12.7	688
1349	LYS9	1114	446
1350	RPS16B	488	143
1351	YOR300W	1.59	102
1352	ESF2	111	316
1353	EFT1	1973	842
1354	EST1	2.34	699
1355	YDL199C	1.85	687
1356	MTF2	20.3	440
1357	LSB3	72.4	459
1358	SMY1	31.7	656
1359	PHO8	61.4	566
1360	MTQ1	91	314
1361	GPB1	17.2	897
1362	CAP1	82.2	268
1363	RPP2B	5346	110
1364	MBA1	31.4	278
1365	YDR169C-A	0.835	49
1366	MON1	4.97	644
1367	ARO10	117	635
1368	MDL2	40.8	773
1369	VPH2	19.7	215
1370	LDB16	3.18	256
1371	NAT2	30.2	288
1372	YRF1-1	1.63	1796
1373	HVG1	1.22	249
1374	NRM1	21.5	249
1375	POL1	28.2	1468
1376	CCW12	2472	133
1377	YKL162C	9.52	402
1378	HXT5	4.47	592
1379	EGT2	47	1041
1380	ETP1	1.87	585
1381	HRP1	86.9	534
1382	BSC5	1.78	489
1383	ARN2	1.34	620
1384	KAR1	0.181	433
1385	YLR415C	1.67	112
1386	AKL1	61.8	1108
1387	YMR242W-A	0.472	29
1388	MME1	14.3	368
1389	ACO2	374	789
1390	DAL5	3.73	543
1391	PST2	168	198
1392	YJL206C	1.48	758
1393	HAP2	4.16	265
1394	MDM10	9.77	493
1395	YER160C	4.41	1755
1396	TRM2	33.2	639
1397	ARP6	5.97	438
1398	USA1	19	838
1399	TIR3	0.735	269
1400	MRPS35	47	345
1401	SLI1	1.43	468
1402	NSP1	167	823
1403	SCL1	371	252
1404	GIN4	79.6	1142
1405	YJL043W	0.515	257
1406	UTP22	152	1237
1407	YPL182C	2.26	127
1408	IGO2	39.1	131
1409	YPL071C	2.21	156
1410	BIL1	17.8	76
1411	YMR084W	19.1	262
1412	YGR127W	2.28	312
1413	YDR455C	1.26	102
1414	ATP19	42.3	68
1415	MDM20	98.6	796
1416	UBP11	1.4	717
1417	ERP3	47.1	225
1418	APD1	54.9	316
1419	AHA1	249	350
1420	SAL1	10.7	494
1421	YBR137W	16.4	179
1422	PGS1	0.302	521
1423	SEC22	19.7	214
1424	PEX21	2.86	288
1425	MCM16	6.41	181
1426	XRN1	328	1528
1427	NHP2	165	156
1428	IRC2	1.21	102
1429	SEC23	117	768
1430	HXT1	191	570
1431	YLR374C	0.464	129
1432	WSC3	13.2	556
1433	AIM2	78.6	246
1434	LCB5	14.8	687
1435	ASE1	8.53	885
1436	MET10	86.5	1035
1437	TMC1	73.3	150
1438	IRC18	1.43	224
1439	GBP2	56.4	427
1440	ICS3	1.55	131
1441	YAR029W	1.17	74
1442	YFR016C	91.2	1233
1443	GCG1	17.9	232
1444	GCN1	281	2672
1445	TDA6	1.43	467
1446	PET494	6.43	489
1447	PGM2	241	569
1448	APS2	11.3	147
1449	CAC2	27.9	468
1450	YLR154C-H	0.057	43
1451	HXT8	7.67	569
1452	MKC7	8.19	596
1453	VPS4	111	437
1454	STB3	21.3	513
1455	NCL1	290	684
1456	SIP18	19.3	79
1457	YGR291C	1.34	73
1458	RPS30A	572	63
1459	YKR041W	3.23	250
1460	PHA2	16.3	334
1461	PCL8	4.91	492
1462	YPL257W-B	11.4	1755
1463	YBR103C-A	1.3	47
1464	SSM4	17.6	1319
1465	YNL303W	156	115
1466	UTP5	282	643
1467	CCC1	35.6	322
1468	STT3	63.8	718
1469	SDH2	193	266
1470	IES6	29.2	166
1471	CIT3	25.6	486
1472	RCN2	28.7	265
1473	YBT1	123	1661
1474	CBP3	153	335
1475	RNT1	46.4	471
1476	YFR009W-A	0.127	85
1477	MDS3	9.34	1487
1478	YIR040C	0.023	110
1479	YHR214C-B	310	1793
1480	TPS2	326	896
1481	POS5	36.5	414
1482	GIP4	8.32	760
1483	YMR158W-B	0.18	106
1484	RPS21B	1137	87
1485	PBY1	35.5	753
1486	RSM7	38.5	247
1487	YMR206W	1.36	313
1488	YPS6	0.013	537
1489	MTM1	76.9	366
1490	STE18	61.2	110
1491	PRP2	4.53	876
1492	YLR035C-A	3.36	1155
1493	SOD2	181	233
1494	RTP1	2.67	981
1495	YIL067C	5.21	678
1496	PKH2	10.3	1081
1497	IVY1	33.5	453
1498	DDI3	1.47	225
1499	PRM10	0.225	383
1500	JIP5	135	492
1501	YIL066W-A	0.16	147
1502	YOR146W	0.395	101
1503	MLF3	9.93	452
1504	CHL4	6.64	458
1505	MYO2	494	1574
1506	CDC48	1170	835
1507	ODC2	56.9	307
1508	YBL100W-A	2.99	438
1509	ISF1	1.95	338
1510	YPR050C	1.6	137
1511	RPL2B	613	254
1512	RTA1	1.7	317
1513	YEL073C	4.23	107
1514	YIL028W	1.52	132
1515	IGD1	15.4	195
1516	HMT1	376	348
1517	IRC8	2.11	822
1518	YGR021W	27.7	290
1519	YCK1	48.1	538
1520	YIM1	69.3	365
1521	TCO89	7.48	799
1522	SOD1	4295	154
1523	EXG1	62.1	448
1524	HRB1	51.4	454
1525	ATP4	361	244
1526	ADK2	9.17	225
1527	RPN4	2.21	531
1528	RRP40	80.4	240
1529	RPL27A	605	136
1530	GPI14	11	403
1531	MUD2	35.5	527
1532	EAF7	4.6	425
1533	BIM1	34.5	344
1534	HMLALPHA1	0.052	175
1535	HPF1	4.88	967
1536	CMC4	2	73
1537	GPI11	37.1	219
1538	YGL262W	1.55	175
1539	VBA5	1.23	582
1540	SGT2	422	346
1541	PPE1	2.38	400
1542	LST7	6.06	242
1543	SDC1	11.4	175
1544	YCK2	78.3	546
1545	MCM4	105	933
1546	YEL014C	7.22	101
1547	ATG1	10.7	897
1548	SLY41	13.1	453
1549	NPP2	2.33	493
1550	MKS1	10.2	584
1551	ABF1	71.6	731
1552	RPO26	161	155
1553	ABF2	229	183
1554	JIP4	18.3	876
1555	SCH9	57.9	824
1556	YBL096C	2.15	102
1557	HOS4	2.99	1083
1558	YMR030W-A	0.06	96
1559	GPD1	401	391
1560	EGO4	59.8	98
1561	YPQ1	54.7	308
1562	HTB1	1034	131
1563	ASG7	1.6	209
1564	USB1	3.78	290
1565	SEC61	499	480
1566	SDH6	8.12	79
1567	YIL108W	17.1	696
1568	COQ1	39.4	473
1569	YLR358C	13.2	187
1570	GCD7	104	381
1571	DSF1	2.55	502
1572	SAS3	4.94	831
1573	SHC1	3.19	512
1574	NSG2	68.8	299
1575	TIM11	52.7	96
1576	CAK1	21.7	368
1577	ACP1	569	125
1578	RIB4	75.9	169
1579	NYV1	40.5	253
1580	BUD5	16.1	642
1581	AIM11	14.6	137
1582	YNR065C	3.15	1116
1583	FUS1	1.87	512
1584	RPN2	443	945
1585	RPT4	173	437
1586	SIS1	635	352
1587	YMR103C	0.492	120
1588	NAB3	69.9	802
1589	TSR3	36	313
1590	ELP2	104	788
1591	YJL052C-A	1.28	39
1592	IRC4	3.21	179
1593	YIL115W-A	0.143	123
1594	HNM1	69.1	563
1595	GIM4	40.1	111
1596	VPS53	16.8	822
1597	YDR261C-D	5.79	1604
1598	RPL16A	916	199
1599	QRI7	11.7	407
1600	URB1	76.5	1764
1601	CCA1	126	546
1602	MEC1	1.19	2368
1603	PRM5	4.9	318
1604	YKL033W-A	615	236
1605	MCM22	9.17	239
1606	GEX2	1.36	615
1607	LRP1	31.8	184
1608	BNA3	51.2	444
1609	IPK1	1.47	281
1610	HXT7	61.9	570
1611	RAD57	3.63	460
1612	TIF4632	89.3	914
1613	XRS2	4.4	854
1614	ERS1	1.46	260
1615	CNA1	68.5	553
1616	YHR180W	1.56	163
1617	SPC29	5.95	253
1618	YAF9	4.76	226
1619	YBR226C	1.47	136
1620	YCR087W	1.67	171
1621	YDL118W	1.56	126
1622	YSC84	3.32	468
1623	ECT1	51.9	323
1624	YJL175W	2.71	170
1625	YBL068W-A	0.285	78
1626	NAT5	85	176
1627	YPR170W-B	21.1	85
1628	RPS31	1949	152
1629	DIG1	22.8	452
1630	YNL120C	1.67	161
1631	HDA2	20.9	674
1632	MHF2	2.38	80
1633	ADD37	62	198
1634	YBR053C	93.9	358
1635	AIM39	5.48	395
1636	SPC19	5.39	165
1637	YFR056C	1.25	122
1638	PER33	58.4	273
1639	INP53	64.5	1107
1640	SHH3	1.37	196
1641	MNN4	1.87	1178
1642	PTP2	3.24	750
1643	RAD3	123	778
1644	YER053C-A	75.7	37
1645	YBR089W	1.87	199
1646	COG7	14.8	279
1647	REC102	1.37	264
1648	YOL099C	2.01	163
1649	TIR1	8.49	254
1650	YOR142W-A	14.4	440
1651	ECM34	1.48	170
1652	RGT1	3.84	1170
1653	ERV1	2.4	189
1654	IMA1	6.49	589
1655	YDR094W	1.29	111
1656	SSQ1	59.6	657
1657	NPL4	54.5	580
1658	VPS25	1.62	202
1659	TAP42	3.6	366
1660	YML020W	18.1	664
1661	DCG1	8.44	244
1662	YGL042C	1.24	101
1663	LPX1	17.5	387
1664	MOB1	56.8	314
1665	MSH3	9.9	1018
1666	YND1	9.61	630
1667	AGC1	2.45	902
1668	SEC17	99.2	292
1669	YGR073C	0.075	123
1670	YNL174W	1.29	190
1671	PMU1	47.8	295
1672	PMT7	16.2	662
1673	SHE10	334	577
1674	KTR5	5.05	522
1675	MSH4	1.75	878
1676	ADE12	715	433
1677	LSM5	9.28	93
1678	CAF40	189	373
1679	RAD17	2.66	401
1680	KEX1	110	729
1681	SIA1	2.24	622
1682	TOM40	236	387
1683	HYM1	14.1	399
1684	YJR098C	15.4	656
1685	APC9	1.92	265
1686	PSP2	59.9	593
1687	JEN1	2.11	616
1688	GPM3	276	303
1689	YCH1	34.1	148
1690	CDC34	88.7	295
1691	HMG2	23.9	1045
1692	NCP1	440	691
1693	PBI1	3	517
1694	LGE1	24.6	332
1695	TAR1	0.035	124
1696	CNL1	6.23	122
1697	MED11	7.58	131
1698	NUP1	115	1076
1699	YGL117W	10.9	265
1700	CDC36	24.8	191
1701	IRC24	39.3	263
1702	TOS1	128	455
1703	NCA2	37	616
1704	YAT1	8.85	687
1705	URA4	178	364
1706	FMP32	2.3	207
1707	CDC7	25.6	507
1708	CTS2	22.7	511
1709	MRP17	1.15	131
1710	YPR170C	1.33	111
1711	LEO1	51	464
1712	PAU15	1.46	124
1713	PHO89	1.92	574
1714	SKY1	47.7	742
1715	YPL277C	1.31	487
1716	HKR1	1.73	1802
1717	NMD5	109	1048
1718	SKO1	11.5	647
1719	TFC4	10.4	1025
1720	ETR1	67.8	380
1721	UBP9	2.91	754
1722	LSP1	884	341
1723	RPS19A	1176	144
1724	PET112	11.6	541
1725	NUP60	66.7	539
1726	GAS3	162	524
1727	ROT2	7.54	954
1728	YOR248W	15	100
1729	YCL023C	1.23	115
1730	SYN8	1.57	255
1731	PRP19	100	503
1732	AVT1	16.1	602
1733	CAF20	361	161
1734	NIP1	897	812
1735	PTC6	5.54	442
1736	BOP3	2.44	396
1737	PAU18	1.35	120
1738	SET1	17.7	1080
1739	PAU19	1.59	124
1740	YOL036W	2.03	761
1741	PGA3	303	312
1742	YBL112C	0.042	105
1743	YDR461C-A	0.355	80
1744	YCR023C	1.89	611
1745	MKK2	24.6	506
1746	HRI1	328	244
1747	BPT1	8.69	1559
1748	DSD1	21.6	428
1749	TRE2	4.63	809
1750	RPL11A	957	174
1751	POL3	54.6	1097
1752	YRF1-3	1.38	1859
1753	COX10	1.78	462
1754	UBX6	12.3	396
1755	EFM4	40.4	257
1756	YLR125W	1.86	136
1757	THP1	11.6	455
1758	YAP1801	12.6	637
1759	SRB8	13.7	1427
1760	UBA2	148	636
1761	SWI3	44.4	825
1762	GIR2	293	265
1763	YGL239C	1.74	104
1764	SPR2	3.31	236
1765	YBR012C	1.32	139
1766	SDA1	48.4	767
1767	YJR038C	1.52	120
1768	MRPL44	17.5	98
1769	VRG4	356	337
1770	YLL020C	1.78	101
1771	YOR338W	1.38	363
1772	ATG13	3.64	738
1773	SLP1	24.6	587
1774	LYS4	202	693
1775	SMB1	15.8	196
1776	SEC6	25.8	805
1777	PEX25	28.4	394
1778	CDC13	17.3	924
1779	YML018C	48.1	393
1780	CSE4	14.5	229
1781	STF1	32.9	86
1782	YMR245W	1.55	206
1783	DRS1	56.5	752
1784	WAR1	9.48	944
1785	VAB2	2.06	282
1786	YDR371C-A	1.65	34
1787	PBN1	40.9	416
1788	YHL049C	1.63	271
1789	MMS4	2.22	691
1790	MET13	74.9	600
1791	MGE1	109	228
1792	AST2	14.7	430
1793	THR1	838	357
1794	ERG11	732	530
1795	YPT11	21.3	417
1796	LIP1	78.2	150
1797	SUT2	1.8	268
1798	RSM18	15.6	138
1799	DCP2	166	970
1800	PCL7	35.8	285
1801	O0508	10.4	129
1802	NOP7	168	605
1803	RPC37	58.8	282
1804	PHO2	49.3	559
1805	RPA190	517	1664
1806	GCN2	6.63	1659
1807	YHR033W	12.3	423
1808	PSH1	47.9	406
1809	ACT1	1573	375
1810	ARP9	32.6	467
1811	SUT1	9.58	299
1812	POX1	5.33	748
1813	YBR113W	1.65	160
1814	YNG2	3.2	282
1815	SAM3	60	587
1816	BMT5	22.9	336
1817	SPT7	36.1	1332
1818	FOL2	53.6	243
1819	SSA2	10528	639
1820	HBT1	36.4	1046
1821	JIP3	1.52	125
1822	TSC13	255	310
1823	MUP1	89.7	574
1824	PUS6	8.74	404
1825	PSE1	171	1089
1826	CHS2	1.79	963
1827	YSY6	12.7	65
1828	CSM1	18.1	190
1829	MIX23	9.37	196
1830	YGL082W	97.7	381
1831	PIC2	35.4	300
1832	PUB1	552	453
1833	TVP15	54.2	143
1834	GAT3	1.57	141
1835	YHL050C	1.51	697
1836	BAP2	283	609
1837	HLJ1	23.8	224
1838	CHA1	354	360
1839	ATP22	2.04	684
1840	FDO1	17.7	342
1841	YPL247C	9.56	523
1842	YDL247W-A	1.74	24
1843	CTM1	24.6	585
1844	RPL18B	2001	186
1845	KCH1	5.57	497
1846	APL4	44.4	832
1847	OCA1	18.6	238
1848	SFK1	37.1	353
1849	YPL073C	1.52	161
1850	YBL012C	1.73	133
1851	RRI2	10.7	645
1852	YDL023C	1.23	106
1853	ERG8	65.5	451
1854	YLR146W-A	0.054	62
1855	PMT4	36.3	762
1856	CBP4	17.2	170
1857	RPS14B	588	138
1858	SAH1	3205	449
1859	YBR259W	1.88	688
1860	SRV2	237	526
1861	ADY3	1.63	790
1862	RLI1	331	608
1863	YUR1	44.5	428
1864	RTT105	3.75	208
1865	HMLALPHA2	2.16	210
1866	PMP2	869	43
1867	NCE102	341	173
1868	NOG2	631	486
1869	TDA8	1.62	126
1870	YPD1	82.6	167
1871	SEC15	48.5	910
1872	SAS4	7.87	481
1873	CMR2	4.41	1648
1874	BIO5	0.39	561
1875	TEF2	8169	458
1876	PHO86	63.1	311
1877	SYC1	18.3	188
1878	TGL4	11.7	910
1879	KRR1	179	316
1880	YDR269C	4.39	107
1881	GRX8	13.8	109
1882	GWT1	16.3	490
1883	LTO1	7.77	198
1884	YJR114W	1.55	130
1885	YBR144C	1.74	104
1886	FDC1	44.7	503
1887	YMR173W-A	1.58	394
1888	NOG1	468	647
1889	YOL103W-B	9.12	1755
1890	YBL100C	0.054	104
1891	RNH201	6.94	307
1892	RGM1	10.7	211
1893	LUC7	23.8	261
1894	FSH1	280	243
1895	RPL15A	1343	204
1896	PDA1	898	420
1897	HHF1	3820	103
1898	TY1A-OR	14.4	440
1899	AMD1	120	810
1900	URA6	82.2	204
1901	GCD11	500	527
1902	TAE1	47.4	232
1903	COX9	268	59
1904	YDR366C	1.54	132
1905	GRH1	91	372
1906	YEL018C-A	0.123	177
1907	TMA7	139	64
1908	SWR1	12.9	1514
1909	MHP1	35.3	1398
1910	YER046W-A	0.142	109
1911	VPS60	28.2	229
1912	ENV7	4.16	364
1913	ISN1	26.1	450
1914	ATP17	159	101
1915	RPL34A	760	121
1916	YPR150W	1.53	173
1917	YOL079W	1.31	132
1918	CWC23	5.97	283
1919	YOR102W	0.475	116
1920	RNR1	4052	888
1921	NHP6B	86.6	99
1922	ADE5,7	588	802
1923	SPO16	1.27	198
1924	AVO2	12.2	426
1925	CBF5	444	483
1926	GVP36	910	326
1927	PDR1	13.9	1068
1928	SLZ1	1.5	298
1929	QRI5	2.48	111
1930	LIA1	580	325
1931	REC104	1.49	182
1932	VPS1	309	704
1933	RTG3	10.1	486
1934	NUS1	34.8	375
1935	YDR187C	1.54	172
1936	YHR140W	1.84	239
1937	SFT1	8.79	97
1938	HEM12	101	362
1939	GPR1	12.8	961
1940	PHO92	1.49	306
1941	TSA2	53.7	196
1942	DOC1	11.3	250
1943	LPL1	10.2	450
1944	RAM1	28.9	431
1945	ATP12	62.1	325
1946	YLL067C	1.47	1205
1947	PET309	9.92	965
1948	MTD1	221	320
1949	MIC10	24.8	97
1950	TLG1	2.04	224
1951	J1107	1.23	116
1952	YBR124W	1.35	119
1953	DUR3	2.15	735
1954	CHS5	83.8	671
1955	ERT1	2.91	529
1956	TIM22	4.47	207
1957	DBP7	38	742
1958	YGR111W	15.7	400
1959	BST1	0.419	1029
1960	RPL3	3886	387
1961	IXR1	40.1	597
1962	COS9	1.71	407
1963	IDS2	24.8	469
1964	NVJ3	3.29	463
1965	KTR4	318	464
1966	RTT10	51.8	1013
1967	MAL12	35.8	584
1968	BUD4	16.2	1447
1969	AVT2	0.019	480
1970	PRP31	27.9	494
1971	YCG1	17.5	1035
1972	KEI1	59	221
1973	CSM4	0.021	156
1974	TIP41	48.7	356
1975	COG6	40.7	839
1976	AZR1	2.54	613
1977	FAR1	4.46	830
1978	RPS11B	3582	156
1979	FRS2	202	503
1980	IRC9	1.33	130
1981	SPG4	5.87	115
1982	WTM1	410	437
1983	NOP8	371	484
1984	ATG39	1.47	398
1985	SBP1	494	294
1986	RPL1A	2280	217
1987	YET3	123	203
1988	QDR1	1.52	563
1989	ATH1	1.45	1211
1990	CTR86	74.3	563
1991	BMH1	2057	267
1992	RIB5	77.5	238
1993	RGL1	687	479
1994	QDR3	10.1	689
1995	YBR116C	1.36	175
1996	RPO21	260	1733
1997	TDA1	128	586
1998	DML1	11.9	475
1999	DIT2	2.25	489
2000	ACC1	954	2233
2001	BIK1	8.34	440
2002	ERG3	333	365
2003	UBP3	128	912
2004	CSI2	9.5	341
2005	VPS34	22.4	875
2006	SEC63	237	663
2007	ZIP1	4.43	875
2008	PRP5	10.4	849
2009	MRPL50	37.5	139
2010	ICL1	678	557
2011	CYB2	114	591
2012	QDR2	29.2	542
2013	NUP100	69.6	959
2014	JID1	4.85	301
2015	YJR026W	17.3	440
2016	KRI1	297	591
2017	YDL041W	1.93	117
2018	MXR1	66.6	184
2019	TFC1	123	649
2020	YGL101W	38.3	215
2021	INP52	29.4	1183
2022	RPL17A	909	184
2023	YDL152W	3.15	121
2024	YKL202W	1.68	193
2025	ADY2	6.93	283
2026	GUF1	26.4	645
2027	NTG2	2.76	380
2028	GRR1	8.6	1151
2029	YOR192C-B	2.11	1770
2030	FMP49	0.309	126
2031	TFG2	10.3	400
2032	FAR11	11.9	953
2033	ACB1	407	87
2034	ASC1	5318	319
2035	RAD16	4.57	790
2036	RSF2	4.53	1380
2037	PIF1	18.9	859
2038	AFB1	0.013	224
2039	YPR078C	1.62	372
2040	YJR020W	1.4	110
2041	RPL8A	3415	256
2042	YJL133C-A	0.972	74
2043	UBP14	32.6	781
2044	YEL028W	1.51	153
2045	NOP58	531	511
2046	YDL242W	1.74	117
2047	HUG1	2.17	68
2048	SAM1	2217	382
2049	ESF1	111	628
2050	FTH1	29.4	465
2051	MSS4	6.94	779
2052	YOL075C	17.3	1294
2053	MYO5	150	1219
2054	APC1	3.78	1748
2055	PET130	6.38	347
2056	TRK1	1.55	1235
2057	EKI1	25.5	534
2058	CIN2	30.8	268
2059	DCK1	5.99	1932
2060	YDR230W	1.45	115
2061	DAL1	3.38	460
2062	RSC9	43.6	581
2063	ZIP2	1.88	704
2064	COS2	2	379
2065	CYC8	121	966
2066	MTC2	1.85	357
2067	YMR178W	497	274
2068	ENT3	30	408
2069	YNL162W-A	4.89	72
2070	YDL144C	64.8	356
2071	TVP23	14.9	199
2072	MRX8	1.33	314
2073	YGL074C	1.55	108
2074	IFA38	446	347
2075	DFM1	13.6	341
2076	BNA4	20.7	460
2077	MSA2	548	363
2078	MET22	180	357
2079	GLT1	737	2145
2080	SPS22	0.2	463
2081	RPL17B	786	184
2082	TYE7	5.53	291
2083	YNL097C-B	0.129	40
2084	FAA2	14.4	744
