mouse	human
P59529	Q9NYV7
P59530	Q9NYW3
P59532	P59536
P59598	Q8IXJ9
P59644	Q15735
P59648	P58549
P59672	Q92625
P59708	Q9Y3B4
P59729	Q8TB24
P59759	Q9ULH7
P59764	Q8N1I0
P59808	O94885
P59823	Q9NZN1
P59862	Q8IXH8
P59900	Q9NT22
P59913	Q96MG8
P59941	Q8N6T7
P59997	Q9Y2K7
P59999	P59998
P60003	P60002
P60041	P61278
P60060	P60059
P60122	Q9Y265
P60154	P60153
P60191	Q9H426
P60202	P60201
P60229	P60228
P60322	P60321
P60324	P60323
P60330	Q14674
P60334	Q16878
P60335	Q15365
P60469	O75145
P60487	Q96GD0
P60521	P60520
P60603	P60602
P60605	P60604
P60670	Q8TAT6
P60710	P60709
P60755	Q7Z553
P60762	Q9UBU8
P60764	P60763
P60824	Q14011
P60840	O43768
P60843	P60842
P60853	Q9Y250
P60867	P60866
P60879	P60880
P60882	Q7Z7M0
P60894	P60893
P60897	P60896
P60898	P36954
P60904	Q9H3Z4
P60954	O94818
P61021	P61020
P61022	Q99653
P61025	P61024
P61027	P61026
P61028	Q92930
P61079	P61077
P61080	P51668
P61082	P61081
P61087	P61086
P61089	P61088
P61092	Q8IUQ4
P61148	P05230
P61161	P61160
P61164	P61163
P61166	P61165
P61168	P14416
P61205	P61204
P61208	P56559
P61211	P40616
P61213	P40617
P61215	Q9NS85
P61216	Q15543
P61219	P61218
P61222	P61221
P61226	P61225
P61237	P61236
P61249	Q13956
P61255	P61254
P61264	P61266
P61290	P61289
P61294	Q9NRW1
P61315	Q96A11
P61327	P61326
P61329	P61328
P61358	P61353
P61364	P61366
P61372	P61371
P61375	Q9H2C1
P61406	Q86US8
P61407	O60522
P61458	P61457
P61460	O75140
P61514	P61513
P61588	P61587
P61600	P61599
P61620	P61619
P61622	Q9UKX5
P61750	P18085
P61759	P61758
P61793	Q92633
P61804	P61803
P61807	O75324
P61809	Q15078
P61922	P80404
P61924	P61923
P61939	P05543
P61953	P61952
P61957	P61956
P61961	P61960
P61963	P61962
P61965	P61964
P61967	P61966
P61969	P61968
P61971	P61970
P61979	P61978
P61982	P61981
P62046	Q9Y2L9
P62069	P62068
P62071	P62070
P62073	P62072
P62075	Q9Y5L4
P62077	Q9Y5J9
P62080	P62079
P62082	P62081
P62137	P62136
P62141	P62140
P62192	P62191
P62196	P62195
P62242	P62241
P62245	P62244
P62254	P62253
P62257	P62256
P62259	P62258
P62264	P62263
P62267	P62266
P62270	P62269
P62274	P62273
P62281	P62280
P62301	P62277
P62307	P62306
P62311	P62310
P62313	P62312
P62315	P62314
P62317	P62316
P62320	P62318
P62322	Q9Y4Y9
P62325	P62324
P62331	P62330
P62334	P62333
P62340	P62380
P62342	P62341
P62482	Q13303
P62484	Q9NYB9
P62488	P62487
P62492	P62491
P62500	Q15714
P62509	P62508
P62515	P49335
P62627	Q9NP97
P62631	Q05639
P62696	P43320
P62700	P62699
P62702	P22090
P62715	P62714
P62717	Q02543
P62737	P62736
P62743	P53680
P62746	P62745
P62748	P37235
P62754	P62753
P62761	P62760
P62774	P58546
P62806	P62805
P62812	P14867
P62814	P21281
P62818	P33764
P62821	P62820
P62823	Q96E17
P62827	P62826
P62830	P62829
P62835	P62834
P62838	P62837
P62843	P62841
P62849	P62847
P62852	P62851
P62855	P62854
P62858	P62857
P62874	P62873
P62876	P62875
P62880	P62879
P62881	O14775
P62889	P62888
P62892	P62891
P62897	P99999
P62900	P62899
P62908	P23396
P62915	Q00403
P62918	P62917
P62932	Q9UH90
P62951	P62952
P62956	P62955
P62960	P67809
P62962	P07737
P62965	P29762
P62983	P62979
P62996	P62995
P63001	P63000
P63002	Q08117
P63005	P43034
P63006	P48742
P63011	P20336
P63013	P54821
P63015	P26367
P63017	P11142
P63024	Q15836
P63028	P13693
P63030	Q9Y5U8
P63032	Q96D21
P63034	Q99418
P63037	P31689
P63038	P10809
P63040	O14810
P63042	Q9H169
P63044	P63027
P63046	Q9BR01
P63054	P48539
P63056	Q96PB7
P63058	P10827
P63072	O15205
P63073	P06730
P63075	O60258
P63078	Q9UK08
P63080	P28472
P63082	P27449
P63084	P33763
P63085	P28482
P63089	P21246
P63101	P63104
P63115	Q9NS82
P63137	P47870
P63139	P25208
P63141	P16389
P63143	Q14722
P63147	P63146
P63154	Q9BZJ0
P63157	Q9BZE3
P63163	P63162
P63166	P63165
P63168	P63167
P63213	P59768
P63216	P63215
P63239	P29120
P63242	P63241
P63248	P61925
P63250	P48549
P63254	P50238
P63260	P63261
P63268	P63267
P63271	P63272
P63276	P08708
P63277	Q99218
P63280	P63279
P63300	P63302
P63318	P05129
P63321	P11233
P63323	P25398
P63325	P46783
P63328	Q08209
P63330	P67775
P67778	P35232
P67871	P67870
P67984	P35268
P68033	P68032
P68037	P68036
P68040	P63244
P68134	P68133
P68181	P22694
P68254	P27348
P68368	P68366
P68369	Q71U36
P68372	P68371
P68373	Q9BQE3
P68404	P05771
P68500	O94779
P68510	Q04917
P69525	Q7Z410
P69566	Q96S59
P69744	Q9NQA5
P70120	Q5TA89
P70121	Q9UKY1
P70122	Q9Y3A5
P70124	P36952
P70126	O15466
P70158	Q92484
P70166	Q9BZB8
P70168	Q14974
P70169	Q14184
P70170	O60706
P70172	Q12908
P70174	P35367
P70175	Q92796
P70178	Q8N196
P70180	P17342
P70181	O14986
P70182	Q99755
P70186	Q99645
P70187	Q96MC6
P70188	Q92845
P70190	Q96KX2
P70191	O00463
P70193	Q96JA1
P70194	Q8N1N0
P70195	Q99436
P70196	Q9Y4K3
P70202	Q9BS40
P70205	P41586
P70206	Q9UIW2
P70207	O75051
P70208	P51805
P70210	Q99594
P70211	P43146
P70217	P35453
P70218	Q92918
P70224	Q8WWP7
P70225	Q14626
P70227	Q14573
P70232	O00533
P70236	P52564
P70245	Q15125
P70248	O00160
P70255	P08651
P70257	Q14938
P70259	P51810
P70261	Q9ULE6
P70263	Q13258
P70265	O60825
P70266	P16118
P70268	Q16512
P70269	P14091
P70270	Q92698
P70271	P50479
P70274	P49908
P70275	O15041
P70277	Q9UJ37
P70278	Q7Z7C7
P70279	O75683
P70280	P51809
P70281	Q8IZU3
P70284	Q15583
P70288	Q92769
P70290	Q00013
P70295	Q9Y679
P70296	P30086
P70297	Q92783
P70298	O14529
P70302	Q13586
P70303	Q9NRF8
P70310	O95665
P70312	Q92819
P70313	P29474
P70314	P78337
P70315	P42768
P70318	Q01085
P70321	Q92826
P70323	O43435
P70324	O15119
P70325	P57082
P70326	Q99593
P70327	O95947
P70331	Q99750
P70333	P55795
P70335	Q13464
P70336	O75116
P70338	Q99684
P70339	Q92837
P70340	Q15797
P70343	P49662
P70345	Q92843
P70347	Q92844
P70348	Q9NP62
P70349	P49773
P70351	Q92800
P70352	Q96L15
P70353	Q13952
P70362	Q92890
P70365	Q15788
P70368	Q9HB31
P70371	P54274
P70372	Q15717
P70375	P08709
P70377	Q92913
P70378	Q92914
P70379	Q92915
P70380	Q14116
P70385	P37058
P70387	Q30201
P70388	Q92878
P70389	P35858
P70390	O60902
P70392	O14827
P70396	P56178
P70397	P56179
P70398	Q93008
P70399	Q12888
P70402	Q13203
P70404	P51553
P70406	P55851
P70407	Q9ULB4
P70408	Q9Y6N8
P70412	Q86UP6
P70414	P32418
P70419	Q14435
P70423	Q8WY07
P70424	P04626
P70425	Q99578
P70426	Q92963
P70428	Q93063
P70429	Q9UI08
P70434	Q92985
P70436	Q92988
P70441	O14745
P70444	P55957
P70445	Q13542
P70447	Q9H2A3
P70451	P16591
P70452	Q12846
P70453	Q13946
P70458	P05154
P70459	P50548
P70460	P50552
P70658	P61073
P70660	Q92886
P70661	Q9Y4Z2
P70662	Q86U70
P70663	Q14515
P70665	Q9HAT2
P70669	P78562
P70671	Q14653
P70677	P42574
P70689	O95452
P70691	P35503
P70694	P17516
P70695	O00757
P70696	Q96A08
P70697	P06132
P70698	P17812
P70699	P10253
P70700	Q9H9Y6
P70701	Q9GZT5
P70704	Q9Y2Q0
P79621	P33076
P80205	P32242
P80206	P32243
P80313	Q99832
P80314	P78371
P80315	P50991
P80316	P48643
P80317	P40227
P80318	P49368
P80560	Q92932
P81066	Q9BZI1
P81067	P78415
P81068	P78414
P81069	Q8TAK5
P81117	P80303
P81122	Q9Y4H2
P81183	Q9UKS7
P81269	P18846
P81270	P11308
P81615	P55089
P82198	Q15582
P82343	P51606
P82347	Q92629
P82348	Q13326
P82349	Q16585
P82350	Q16586
P82976	Q14549
P83093	Q9P246
P83503	Q9GZU5
P83510	Q9UKE5
P83555	Q8N743
P83741	Q9H4A3
P83861	Q96P65
P83870	Q7RTV0
P83877	P83876
P83887	P23258
P83917	P83916
P83940	Q15369
P84075	P84074
P84078	P84077
P84084	P84085
P84086	Q6PUV4
P84089	P84090
P84091	Q96CW1
P84096	P84095
P84099	P84098
P84102	P84101
P84104	P84103
P84309	O95622
P84444	O00585
P85094	Q96AB3
P85442	A8MV65
P86044	A1A5B4
P86045	Q6UWW9
P86046	O60928
P86048	Q96L21
P86049	Q8TBY0
P86050	Q5T4T1
P86174	Q6ZU67
P86176	Q495A1
P86546	P02818
P86547	P02818
P86792	O00585
P86793	O00585
P97287	Q07820
P97288	Q13639
P97290	P05155
P97291	P55286
P97292	P25021
P97295	P49146
P97297	P35318
P97298	P36955
P97299	Q96HF1
P97302	O14867
P97303	Q9BYV9
P97304	"P0DPB5,P0DPB6"
P97305	Q12968
P97306	Q99469
P97309	Q9BRJ9
P97310	P49736
P97311	Q14566
P97313	P78527
P97314	Q16527
P97315	P21291
P97318	O75553
P97321	Q12884
P97325	Q11203
P97326	P55285
P97328	P50053
P97329	O95235
P97333	O14786
P97334	Q8TAU0
P97343	Q8TAS1
P97346	Q6DKJ4
P97347	Q6XPR3
P97348	O00212
P97350	Q13835
P97352	Q99584
P97355	P52788
P97357	Q15573
P97358	Q53T94
P97360	P41212
P97361	Q9NP55
P97363	O15270
P97364	Q99611
P97366	O60447
P97367	O14770
P97368	Q99687
P97369	Q15080
P97370	P54709
P97371	Q06323
P97372	Q9UL46
P97376	Q14331
P97377	P24941
P97378	Q99665
P97379	Q9UN86
P97382	O43448
P97384	P50995
P97386	P49916
P97390	Q9NRW7
P97391	P39877
P97393	Q13017
P97401	Q92765
P97402	Q8N0V5
P97411	Q05084
P97412	Q99698
P97414	P51787
P97427	Q14194
P97428	O15492
P97429	P09525
P97430	P03973
P97431	O14896
P97432	Q14596
P97433	Q8N1W1
P97434	Q6WCQ1
P97435	P98073
P97436	Q99801
P97438	O95069
P97440	Q14493
P97441	Q99726
P97443	Q8NB12
P97445	O00555
P97447	Q13642
P97449	P15144
P97450	P18859
P97452	Q14137
P97454	Q99717
P97457	Q96A32
P97458	O75360
P97459	Q99742
P97460	Q99743
P97461	P46782
P97463	Q99748
P97464	Q16394
P97465	Q99704
P97466	Q13253
P97467	P19021
P97468	Q99788
P97469	O43623
P97470	P60510
P97471	Q13485
P97473	Q15633
P97474	Q99697
P97477	O14965
P97478	Q99807
P97479	Q13402
P97480	Q99504
P97481	Q99814
P97484	O75022
P97489	Q9BWX5
P97490	P40145
P97492	O43566
P97493	Q99757
P97494	P48506
P97496	Q92922
P97497	P04278
P97499	Q99973
P97500	Q9UL68
P97501	P31513
P97503	P78367
P97504	P51813
P97714	P25100
P97717	P35368
P97718	P35348
P97737	P55107
P97742	P50416
P97751	P32241
P97760	P19387
P97762	Q8TA86
P97764	Q96G27
P97765	Q969T9
P97766	P0CG36
P97766	P0CG37
P97767	Q99502
P97769	Q99966
P97770	Q9BV44
P97772	Q13255
P97783	Q13015
P97784	Q16526
P97785	P56159
P97789	Q8IZH2
P97792	P78310
P97793	Q9UM73
P97794	Q15842
P97797	P78324
P97798	Q92859
P97799	Q8IZ57
P97801	Q16637
P97805	Q96BQ1
P97807	P07954
P97808	Q96DB9
P97812	Q14623
P97813	O14939
P97814	O43586
P97816	P29377
P97817	Q01850
P97819	O60733
P97820	O95819
P97821	P53634
P97823	O75608
P97825	Q9UK76
P97855	Q13283
P97857	Q9UHI8
P97858	P78383
P97861	O43790
P97863	O00712
P97864	P55210
P97865	O00628
P97868	Q7Z6E9
P97872	P49326
P97873	Q08397
P97875	Q8WYK2
P97926	P30559
P97927	Q16363
P97929	P51587
P97930	P23919
P97931	P13051
P97946	O43915
P97950	Q14088
P97952	Q07699
P97953	P49767
P98063	P13497
P98078	P98082
P98083	P29353
P98084	Q99767
P98086	P02745
P98154	P98153
P98156	P98155
P98191	Q92903
P98192	O15228
P98195	O43861
P98197	P98196
P98199	P98198
P98200	Q9NTI2
P98203	O00192
P99024	P07437
P99025	P30047
P99026	P28070
P99027	P05387
P99028	A0A096LP55
P99029	P30044
Q00175	P06401
Q00196	P09086
Q00262	P32856
Q00286	P28069
Q00288	Q06710
Q00322	P49716
Q00342	P36888
Q00420	Q06547
Q00422	Q06546
Q00493	P16870
Q00519	P47989
Q00547	O75330
Q00558	P23610
Q00560	P40189
Q00609	P33681
Q00612	P11413
Q00623	P02647
Q00651	P13612
Q00690	P16581
Q00724	P02753
Q00731	P15692
Q00780	P27658
Q00896	P01009
Q00897	P01009
Q00898	P01009
Q00899	P25490
Q00915	P09455
Q00941	P15509
Q00977	P29033
Q00993	P30530
Q00PI9	Q1KMD3
Q01065	Q01064
Q01097	Q13224
Q01098	Q14957
Q01102	P16109
Q01114	Q01113
Q01147	P16220
Q01149	P08123
Q01231	P36382
Q01237	P04035
Q01279	P00533
Q01320	P11388
Q01337	P18825
Q01338	P08913
Q01339	P02749
Q01341	O43306
Q01405	Q15436
Q01514	Q9H0R5
Q01705	P46531
Q01721	P54826
Q01727	Q01726
Q01730	Q15404
Q01755	Q8WWU5
Q01768	P22392
Q01776	P30968
Q01815	Q13936
Q01822	Q9GZZ0
Q01853	P55072
Q01887	P34925
Q01965	Q9HBG7
Q02013	P29972
Q02053	P22314
Q02067	P50553
Q02085	O95863
Q02105	P02747
Q02111	Q04759
Q02152	P41595
Q02242	Q15116
Q02248	P35222
Q02257	P14923
Q02284	P30939
Q02357	P16157
Q02384	Q07890
Q02395	Q9Y483
Q02525	Q9BY31
Q02526	Q8N8Y5
Q02566	P13533
Q02576	Q02575
Q02591	P56915
Q02614	Q9UHR5
Q02650	Q02548
Q02738	Q9NTQ9
Q02739	O95377
Q02780	Q12857
Q02788	P12110
Q02789	Q13698
Q02819	Q02818
Q02853	P24347
Q02858	Q02763
Q02956	Q05513
Q03059	P28329
Q03137	P54764
Q03141	P27448
Q03142	P22455
Q03145	P29317
Q03146	Q08345
Q03147	P50613
Q03157	P51693
Q03160	Q14451
Q03172	P15822
Q03173	Q8N8S7
Q03249	P07902
Q03265	P25705
Q03267	Q13422
Q03288	P42127
Q03311	P06276
Q03347	Q01196
Q03350	P35442
Q03358	P35548
Q03385	Q12967
Q03391	O15399
Q03404	Q03403
Q03517	P13521
Q03526	Q08881
Q03717	Q14721
Q03719	Q9NSA2
Q03734	P01011
Q03958	O15212
Q03963	P19525
Q04207	Q04206
Q04211	P78543
Q04447	P12277
Q04519	P17405
Q04573	P25929
Q04592	Q92824
Q04683	P32302
Q04690	P21359
Q04692	Q9H4L7
Q04735	Q00536
Q04736	P07947
Q04742	Q04741
Q04744	Q04743
Q04750	P11387
Q04758	Q9C010
Q04841	P29372
Q04857	P12109
Q04859	P20794
Q04863	Q01201
Q04886	P57073
Q04887	P48436
Q04888	P56693
Q04890	O15370
Q04891	Q9UN79
Q04892	O95416
Q04899	Q07002
Q04997	P05111
Q04998	P08476
Q04999	P09529
Q05020	P02655
Q05144	P15153
Q05186	Q15293
Q05306	Q03692
Q05421	P05181
Q05512	Q7KZI7
Q05685	P14207
Q05722	P20849
Q05769	P35354
Q05793	P98160
Q05816	Q01469
Q05860	Q68DA7
Q05895	P49746
Q05909	P23470
Q05910	P78325
Q05915	P30793
Q05920	P11498
Q05921	Q05823
Q05922	Q05923
Q05928	P35070
Q059U7	Q9ULD6
Q059Y8	Q5T197
Q05A36	Q5U5Q3
Q05A56	Q2M3T9
Q05A62	Q4LDG9
Q05A80	Q6IMN6
Q05AA6	Q13474
Q05AH6	Q9BUA3
Q05BC3	O00423
Q05BQ1	Q9P2J2
Q05CL8	Q4G0J3
Q05D44	O60841
Q06138	Q9Y376
Q06180	P17706
Q06186	Q99075
Q06194	P00451
Q06219	P43354
Q06318	P11684
Q06335	Q06481
Q06348	Q99811
Q06507	P18848
Q06649	P78314
Q06770	P08185
Q06806	P35590
Q06831	Q06945
Q06890	P10909
Q06986	O43255
Q07076	P20073
Q07079	P24593
Q07104	Q9NR23
Q07105	O60383
Q07113	P11717
Q07133	P22492
Q07139	Q9H8V3
Q07174	P41279
Q07230	Q7Z7L9
Q07231	Q9Y5A6
Q07235	P07093
Q07243	Q14872
Q07279	Q16621
Q07409	Q9P232
Q07417	P16219
Q07424	O14627
Q07440	Q16548
Q07456	P02760
Q07475	Q16612
Q07643	Q14055
Q07646	Q5EB52
Q07763	Q9BZW8
Q07797	Q08380
Q07802	Q9UH73
Q07813	Q07812
Q07832	P53350
Q07916	Q14863
Q07968	P05160
Q08024	Q13951
Q08048	P14210
Q08091	P51911
Q08093	Q99439
Q08122	Q04726
Q08189	Q08188
Q08274	Q09019
Q08288	Q9NX58
Q08297	Q06609
Q08331	P22676
Q08351	P40238
Q08369	P43694
Q08376	O43829
Q08423	P04155
Q08460	Q12791
Q08481	P16284
Q08501	P16471
Q08509	Q12929
Q08624	P09017
Q08639	Q14186
Q08642	Q9Y2J8
Q08652	P50120
Q08731	P48304
Q08761	P07225
Q08775	Q13950
Q08857	P16671
Q08874	O75030
Q08879	P23142
Q08890	P22304
Q08943	Q08945
Q08AT1	Q9NYN1
Q08AU7	A6NDP7
Q08AU9	Q2M2W7
Q08EA8	A2RRL7
Q08EC4	Q9NQ75
Q08ED0	Q5TBC7
Q08EJ0	A1L4L8
Q08EN7	Q504Y3
Q09014	P14598
Q09143	P30825
Q09163	P80370
Q09199	Q8NHY0
Q09200	Q00973
Q09324	Q02742
Q09LZ8	Q5VU57
Q09M02	Q8NDL9
Q09M05	Q96MI9
Q09PK2	Q53RT3
Q09TK9	P0C7L1
Q09XV5	Q9HCK8
Q0EEE2	Q3KNS1
Q0GA42	Q9NRU3
Q0GGX2	Q9H0D2
Q0GNC1	Q27J81
Q0HA38	Q7Z4L5
Q0KK55	Q76NI1
Q0KK59	Q9P2D8
Q0KL01	Q14CS0
Q0KL02	O75962
Q0MW30	A8MQ27
Q0P523	Q96Q77
Q0P543	P48546
Q0P557	Q8TC71
Q0P5V2	A7XYQ1
Q0P5V9	Q5BKX6
Q0P5W1	Q8N3P4
Q0P5X1	Q96JM4
Q0P5X5	A8MT70
Q0P5Y3	P59282
Q0P678	Q86VM9
Q0PD08	Q8N4Z0
Q0PHV7	Q96B18
Q0PMG2	Q8NFP4
Q0QWG9	A4D2P6
Q0V8T9	Q8WYK1
Q0VAV2	Q8NEV8
Q0VAW7	Q9UJU3
Q0VB07	Q96LB8
Q0VB26	Q8N6G2
Q0VBB0	Q8N945
Q0VBD0	P26012
Q0VBD2	Q7L590
Q0VBF2	Q4KMG9
Q0VBF8	Q69YW2
Q0VBK2	Q6KB66
Q0VBL1	Q4W5G0
Q0VBL3	Q96T37
Q0VBL6	Q9Y2N7
Q0VBM2	Q5T0W9
Q0VBN2	Q8IZU8
Q0VBP7	Q3SXP7
Q0VBU9	Q5VZY2
Q0VBV7	Q9P2H0
Q0VDN7	Q96C34
Q0VDQ9	A0PJY2
Q0VDT2	Q7RTV3
Q0VDU3	P49685
Q0VE29	Q8N8I0
Q0VE82	Q9UBL6
Q0VEE6	Q2TB10
Q0VEJ0	Q8TAP6
Q0VET5	Q8IXW0
Q0VF22	Q96M89
Q0VF58	Q14993
Q0VF94	Q17RQ9
Q0VFX2	Q5JU67
Q0VG18	O75264
Q0VG49	A6NNL5
Q0VG62	Q8N0T1
Q0VGB7	Q9NY27
Q0VGM9	Q9NZ71
Q0VGT2	P10070
Q0VGT4	Q86YA3
Q0VGU4	O15240
Q0VGY8	Q9C0D5
Q0ZCJ7	Q6ZN01
Q0ZLH2	Q0ZLH3
Q10470	Q09327
Q10738	P09237
Q11011	P55786
Q11127	P22083
Q11131	Q11130
Q11136	P12955
Q11204	Q16842
Q148A4	Q7Z5V6
Q148B6	Q76KD6
Q148R9	Q6ZS82
Q148V7	Q9P260
Q148V8	Q6ZRV2
Q148W0	O43520
Q148W8	Q5VZP5
Q149C2	Q8TDR0
Q149C3	Q6UY18
Q149F1	Q8IZ73
Q149F3	Q8IYD1
Q149F5	Q6P5X7
Q149G0	Q2NKX9
Q149L6	Q8TBM8
Q149L7	O95727
Q149M0	Q2HXU8
Q149R9	Q9H1C0
Q149S1	Q8WW24
Q149T7	Q5JR12
Q14A28	P58294
Q14AI0	Q9BVC3
Q14AI6	Q6P087
Q14AK4	Q9H8X9
Q14AM7	Q14CZ0
Q14AT2	Q8IYF3
Q14AT5	Q6IWH7
Q14AW5	Q8NE18
Q14AX6	Q9NYV4
Q14B02	Q8WVZ7
Q14B24	Q6UWY2
Q14B46	Q8IZC4
Q14B48	Q6ZRS4
Q14B62	Q96NR3
Q14B70	Q7Z353
Q14B71	Q69YH5
Q14B80	Q96PR1
Q14B98	Q6ICB4
Q14BA6	Q5VYS4
Q14BB9	Q9H9H5
Q14BI2	Q14416
Q14BI7	Q8NDG6
Q14BJ1	Q96GI7
Q14BK3	Q5T0J7
Q14BU0	Q8WVF2
Q14BV6	A8MPS7
Q14BX2	Q6UWB4
Q14C51	Q96EY7
Q14CH0	Q6P995
Q14CH1	Q96EN8
Q14CH7	Q5JTZ9
Q14DH7	Q9H6R3
Q14DK4	Q6NUI2
Q14DK5	Q96JK4
Q14DL0	Q8IYU4
Q14DL3	A6PVS8
Q14DN9	A6NHY2
Q14DQ1	Q5XKK7
Q17ST2	Q96RP8
Q18PE0	Q18PE1
Q18PI6	Q9UIB8
Q19A41	Q8TD94
Q19LI2	P04217
Q1A3B0	Q8IU89
Q1EG27	Q8WXR4
Q1EHW4	Q8TEE9
Q1ERP8	Q6UXG3
Q1H9T6	P10074
Q1HCM0	Q8TAT2
Q1HFZ0	Q08J23
Q1HKZ5	O43283
Q1LZI2	Q8IY50
Q1PSW8	Q2Q1W2
Q1RLK6	Q9C0J1
Q1RLL3	Q8IYJ1
Q1RNF8	Q96NU1
Q1W617	Q9ULL8
Q1WG82	P0C6A0
Q1XH17	Q6ZMU5
Q24JP3	Q8IXR5
Q24JP4	Q569G3
Q283N4	A6NGE7
Q2EG98	Q7Z443
Q2EMV9	Q460N5
Q2EY15	Q2VWP7
Q2HJ10	Q9BRI3
Q2HXL6	Q9BZQ6
Q2KHI9	Q9NXL9
Q2KHK3	Q6Q4G3
Q2KHK6	Q9BYG8
Q2KN98	Q69YQ0
Q2LA85	Q5T2D2
Q2M2N2	Q6IQ16
Q2M3X8	Q9C0D0
Q2MH31	Q8NCR6
Q2MHE5	Q6PKX4
Q2MHN3	Q9C0A1
Q2MKA5	P30532
Q2MV57	Q96GX1
Q2NKH9	Q7Z4J2
Q2NKI2	Q5SQQ9
Q2NL51	P49840
Q2PFD7	Q9NYI0
Q2PZL6	Q6V0I7
Q2QI47	O75445
Q2TB02	Q8NI38
Q2TB54	Q8WWV6
Q2TBA3	Q9UDY8
Q2TBE6	Q9BTU6
Q2TJ95	Q9BXY4
Q2TL60	Q5HYK9
Q2TUM3	Q8N5I3
Q2TV84	Q7Z4N2
Q2UY11	Q2UY09
Q2VLH6	Q86VB7
Q2VPA6	Q8TDG4
Q2VPD4	Q8WYA1
Q2VPQ9	Q9HAF1
Q2VPU4	Q9HAP2
Q2VWQ2	Q92832
Q2WF71	Q9P244
Q2WG76	Q5TAB7
Q2XU92	Q5FVE4
Q2YDW2	Q9BUK6
Q2YDW7	Q9NQR1
Q2YFS1	Q9UKJ0
Q2YFS2	Q9UKJ0
Q2YFS3	Q9UKJ1
Q307W7	A6PVL3
Q30D77	Q17RW2
Q30KP5	Q30KQ7
Q31125	Q92504
Q32KG4	Q8NET4
Q32KI9	Q5FYB1
Q32LZ8	Q7Z6Z6
Q32M00	O60519
Q32M02	O14926
Q32M07	Q96MA6
Q32M08	O95620
Q32M26	Q6NUJ2
Q32MD9	Q4KMG0
Q32MW3	Q9Y305
Q32NY4	Q8NE01
Q32NZ6	Q6UXY8
Q32P12	Q8N3J3
Q33DR2	Q5T2R2
Q33DR3	Q86YH6
Q38HM4	Q969Q1
Q3B7Z2	P22059
Q3B807	Q5VWI1
Q3HNM7	Q1MX18
Q3I5G5	Q6ZQN5
Q3KNI6	Q9NQM4
Q3KNJ2	Q9H9Q4
Q3KNK3	Q6BCY4
Q3KNL4	Q8N6V4
Q3KNM2	Q9NX47
Q3KNY0	Q86VF2
Q3KNY5	A6NNX1
Q3KQJ0	Q5SWH9
Q3LAC4	Q70Z35
Q3LS21	Q9NPC2
Q3MI48	Q96MG2
Q3MI99	Q6UXH8
Q3SXB8	Q9BWP8
Q3SXC5	Q8N4G2
Q3SXD3	Q7Z4H3
Q3SYK4	Q9H8Y1
Q3SYP2	Q99895
Q3T9M1	A6NFX1
Q3T9X0	Q9NRM0
Q3T9Z9	Q96AP4
Q3TA38	A0PK00
Q3TA59	Q96S16
Q3TAA7	Q8N1F8
Q3TAE8	Q9Y672
Q3TAP4	Q2VPB7
Q3TAS6	Q5UCC4
Q3TB48	Q8NE00
Q3TB82	Q96S99
Q3TBD2	Q92619
Q3TBL6	Q5GJ75
Q3TBN1	Q9NWD8
Q3TBT3	Q86WV6
Q3TBW2	Q7Z7H8
Q3TC33	Q96BQ5
Q3TC46	Q86TB9
Q3TC72	Q6P2I3
Q3TC93	Q53T59
Q3TCH7	Q13619
Q3TCJ1	Q15018
Q3TCN2	Q8NHP8
Q3TCT4	Q9NQZ7
Q3TCV3	A4D1B5
Q3TCX3	Q7Z7F0
Q3TD16	Q9H714
Q3TD49	Q8TCT7
Q3TDD9	Q6ZMI0
Q3TDE8	Q5VV52
Q3TDK6	Q9GZN7
Q3TDN0	Q96F81
Q3TDN2	Q96CS3
Q3TDQ1	Q8TCJ2
Q3TDX8	Q7L1T6
Q3TEA8	Q5SSJ5
Q3TEI4	Q6ZRI6
Q3TEL6	Q96PX1
Q3TES0	Q9UPP2
Q3TEW6	O95297
Q3TFD2	Q8NF37
Q3TFK5	Q5T3I0
Q3TFQ1	Q5W111
Q3TGF2	Q9H098
Q3TGW2	Q7L9B9
Q3TH73	Q9BSA4
Q3THE2	P19105
Q3THF9	Q9H8M1
Q3THG9	Q9BTE6
Q3THJ3	Q8N9N8
Q3THK3	P35269
Q3THK7	P49915
Q3THS6	P31153
Q3THW5	Q71UI9
Q3TIR1	A5PLN9
Q3TIR3	Q9NPQ8
Q3TIT8	Q8NCC5
Q3TIU4	Q6L8Q7
Q3TIX9	Q53GS9
Q3TJ91	Q6P1M3
Q3TJD7	Q9NR12
Q3TJM4	Q96BT3
Q3TJZ6	Q8NCA5
Q3TKR3	Q96MN2
Q3TKT4	P51532
Q3TKY6	Q6UX04
Q3TL26	Q9H5Q4
Q3TL44	Q86UT6
Q3TLD5	O94763
Q3TLH4	Q9Y520
Q3TLI0	P48553
Q3TLP5	Q86YB7
Q3TLR7	Q9NZJ0
Q3TLS3	Q6ZNW5
Q3TMH2	Q0VDG4
Q3TMP8	Q9H6F2
Q3TMV7	Q8WU10
Q3TMW1	Q96A19
Q3TMX7	Q6ZRP7
Q3TN34	Q8IY33
Q3TNH5	Q8WUF8
Q3TNL8	Q8IWB1
Q3TNW5	Q3MIW9
Q3TP92	O95476
Q3TPE9	Q8IV38
Q3TPJ7	Q504T8
Q3TPR7	Q9NVA4
Q3TPX4	O00471
Q3TQ03	Q8N365
